"","PROTID","PROTLEN","DEFLINE","FSW1","FSW2","FSW3","LIP1","LIP2","LIP3","LIP4","LBP1","LBP2","MIP1","MIP2","MIP3","MIP4","MBP1","MBP2","MBP3","MBP4","HIP1","HIP2","HBP1","HBP2","HBP3","HBP4"
"2045","m.34772",240,"FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2",0.666666666666667,2,1,0,1,1.5,0.5,2,1.5,1.5,2,2,1,1,1,1.5,1,0,0,0,0,2.5,0.5
"2046","m.34788",177,"Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1",0,0,1,0,0,1,1,0,0,0,0,1.5,1.5,0,0,1,0.5,0,0,0,0,2,0
"2047","m.34789",370,"Nucleoprotein TPR OS=Rattus norvegicus GN=Tpr PE=1 SV=1",0,0,1.5,0,0,3,1.5,0.5,0.5,0,0.5,2,3,0.5,0,1,0,0,0,0,0,2,2.5
"2048","m.348",295,"Galaxin OS=Galaxea fascicularis GN=galaxin PE=2 SV=1",10.3333333333333,10.5,8.5,9,6,8,7.5,8,6,8,8.5,8,7,4.5,4,7.5,5.5,7,7.5,5,7,8,7
"2049","m.34809",103,"Nucleoprotein TPR OS=Mus musculus GN=Tpr PE=1 SV=1",0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0
"2050","m.34844",166,"Coiled-coil domain-containing protein 12 OS=Mus musculus GN=Ccdc12 PE=2 SV=2",0,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0
"2051","m.3494",2140,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus GN=Sptan1 PE=1 SV=2",165.333333333333,172.5,105.5,91,121,134,71,144.5,129.5,129.5,135.5,112,92,122,73.5,81.5,65,118,127,105,128,131.5,93.5
"2052","m.34954",142,"m.34954",0.333333333333333,1,0,0,1.5,0,0,1,1,2,1.5,0,0,1.5,0,0,0,1.5,0,1,2,0,0
"2053","m.34960",270,"Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3",0.333333333333333,1.5,2.5,0,0.5,1.5,1,1,1.5,1,1,1.5,3,0,0,0.5,0.5,0.5,0.5,0,0,2,1
"2054","m.34980",153,"DNA polymerase epsilon subunit 3 OS=Pongo abelii GN=POLE3 PE=2 SV=1",0,0,0.5,0,1,1.5,1,1,0.5,1,1,1,1,1,1,1,0.5,0.5,0.5,0,0,0.5,1
"2055","m.34991",288,"Uncharacterized protein y4mH OS=Rhizobium sp. (strain NGR234) GN=NGR_a02510 PE=4 SV=1",3,4,3.5,2.5,2,2,3,5,4,4,4.5,2.5,2,2,0.5,2.5,3,2.5,2,2,3,2,3
"2056","m.34996",174,"m.34996",1.66666666666667,1,0.5,0,0.5,1,0.5,2.5,1,1,1,1,0.5,0.5,0,1,1,0,0.5,0,0,0.5,0.5
"2057","m.3501",191,"Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1",0,0,1,0,0,1,1.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
"2058","m.3502",403,"Symplekin OS=Mus musculus GN=Sympk PE=1 SV=1",0.333333333333333,0.5,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2059","m.35068",261,"Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1",0,0,1,0.5,1.5,0,0,0.5,0.5,4,2,0.5,0,2,1.5,0,0,3,2.5,3,4,2,1.5
"2060","m.35071",140,"m.35071",2.33333333333333,2,4.5,3.5,2.5,3,3.5,2.5,3.5,3,2,2.5,4,2.5,1,3.5,3,2,2.5,3,4,2,5
"2061","m.35100",307,"Integrin alpha-4 OS=Mus musculus GN=Itga4 PE=1 SV=1",0.333333333333333,1,0,0.5,1,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0.5,1,1,1,0,0
"2062","m.35136",334,"m.35136",1.33333333333333,3.5,1.5,1,2.5,0.5,0.5,1.5,3,3.5,3.5,0.5,0,2,1,0.5,1.5,1.5,2.5,1,2,0.5,2
"2063","m.35147",172,"Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3",2.66666666666667,3,0.5,0.5,2,0,0.5,3,2,1.5,1.5,0,0,1,0,0,0.5,1.5,1.5,2,2,0,0
"2064","m.35151",141,"Arylsulfatase I OS=Rattus norvegicus GN=Arsi PE=2 SV=1",0,0,2.5,0,0,3.5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0
"2065","m.35243",207,"Serine/threonine-protein kinase TBK1 OS=Homo sapiens GN=TBK1 PE=1 SV=1",0,0.5,0,0.5,1,0.5,0,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0
"2066","m.3530",1232,"Scavenger receptor cysteine-rich domain superfamily protein OS=Patiria pectinifera GN=SRCR1 PE=1 SV=1",0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,1,0,0,0,1.5,0,0,0,0,0,1
"2067","m.35307",214,"Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1",1.66666666666667,1.5,0,0.5,0.5,0,0,2.5,2,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0
"2068","m.35335",197,"Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5
"2069","m.3535",553,"Stress-induced-phosphoprotein 1 OS=Macaca fascicularis GN=STIP1 PE=2 SV=1",2,1,2.5,0.5,1,3,2.5,1.5,2.5,0.5,0.5,1.5,2,0,0,2,1,0,0,0,0,2,2
"2070","m.35429",187,"L-ectoine synthase OS=Marinococcus halophilus GN=ectC PE=3 SV=1",0,0,1.5,0,0,0.5,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"2071","m.3543",203,"Lipoxygenase OS=Actineria villosa GN=Avt-lox PE=2 SV=1",1.33333333333333,1,0.5,0.5,1.5,0,0,1.5,1,0.5,0.5,0,0,1,0.5,0,0.5,1,0,1,1,0,0.5
"2072","m.3547",337,"RimK domain protein ATP-grasp OS=Rhodomicrobium vannielii (strain ATCC 17100 / ATH 3.1.1 / DSM 162 / LMG 4299) GN=Rvan_2759 PE=4 SV=1",0.333333333333333,0.5,2,0,3,1,2,0.5,1,1.5,0,2,2,1,0.5,0,1,1,0.5,0,3,1,2
"2073","m.3549",388,"Alpha-mannosidase 2C1 OS=Mus musculus GN=Man2c1 PE=2 SV=1",0,0,1.5,0,1,2,1.5,0.5,1.5,1,0,1,1,1,0,1.5,1.5,0,0,0,0,0.5,1
"2074","m.355",256,"Glutathione S-transferase OS=Musca domestica PE=2 SV=1",33.6666666666667,35.5,18.5,26,30,20.5,17.5,33.5,35,33.5,31,28.5,19.5,32.5,17.5,25,15,25.5,28.5,26,28,45,19
"2075","m.35511",123,"Unconventional myosin-If OS=Homo sapiens GN=MYO1F PE=1 SV=3",2.66666666666667,3,0.5,0,2.5,2,1,2.5,2,1.5,1,1,0,1,0.5,1,1,1.5,1.5,1,1,0.5,0
"2076","m.35539",566,"Eukaryotic translation initiation factor 3 subunit L OS=Nematostella vectensis GN=v1g169424 PE=3 SV=1",0.333333333333333,1,0,0,2,2,0,1,1,1,1,1,0,1,0,0,0,0.5,1,0,1,0,0
"2077","m.35564",204,"von Willebrand factor A domain-containing protein 2 OS=Mus musculus GN=Vwa2 PE=1 SV=1",4,3.5,1.5,1.5,1.5,0.5,0,3,3,2.5,1.5,0.5,0.5,2,0.5,0.5,0.5,1,1,1,1,0.5,0
"2078","m.35586",136,"Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3",0.333333333333333,0,0,0,1,0,0,0.5,1,0,1,0,0,1,0.5,0,0,0,1,0,0,0,0
"2079","m.3559",327,"Sulfotransferase 1C4 OS=Homo sapiens GN=SULT1C4 PE=1 SV=2",0.666666666666667,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2080","m.35648",145,"Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
"2081","m.3565",211,"Osteoclast-stimulating factor 1 OS=Xenopus laevis GN=ostf1 PE=2 SV=1",6,7,1,1.5,3,0.5,0,5,6.5,5.5,3,1,1,1.5,0.5,1,0,1.5,3,1.5,3,1,0.5
"2082","m.3569",156,"Trafficking protein particle complex subunit 6B OS=Homo sapiens GN=TRAPPC6B PE=1 SV=1",0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,0,0.5,0,0,0,0,0,1,0.5
"2083","m.357",733,"Coagulation factor VIII OS=Homo sapiens GN=F8 PE=1 SV=1",0.333333333333333,1,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"2084","m.35827",169,"CAP-Gly domain-containing linker protein 2 OS=Homo sapiens GN=CLIP2 PE=1 SV=1",0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,1.5,0
"2085","m.35843",140,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1",0.333333333333333,1.5,2.5,1,1.5,1,1,1,0.5,1.5,1.5,1,1.5,2,1.5,0,0.5,1,1,1,1,0.5,0.5
"2086","m.3586",360,"Cysteine synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=cysB PE=3 SV=2",0.666666666666667,1,2,0,1,1.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,1,0
"2087","m.35895",213,"Coagulation factor VIII OS=Canis familiaris GN=F8 PE=2 SV=1",1.66666666666667,2,0.5,1.5,1.5,1,0.5,1.5,1.5,1.5,1,1,1,1,0,2,0,0,1,0,1,0.5,0.5
"2088","m.35910",178,"Vitellogenin OS=Oncorhynchus mykiss GN=vtg1 PE=1 SV=1",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
"2089","m.35911",133,"Filamin-A OS=Drosophila melanogaster GN=cher PE=1 SV=2",8.66666666666667,9.5,7.5,5.5,6,6.5,6.5,10,10,8.5,9.5,6,8.5,9.5,4,9,9,8,9,7,8,8.5,6
"2090","m.3595",1680,"E3 ubiquitin-protein ligase TTC3 OS=Homo sapiens GN=TTC3 PE=1 SV=2",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2091","m.36003",135,"Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4",2,2.5,5.5,1,2,5.5,4,3,2.5,3,3.5,6,4,2,3.5,2.5,5.5,3.5,2,2,2,6,4
"2092","m.3601",988,"RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens GN=REPS1 PE=1 SV=3",0,0,0.5,0,0,1,0.5,0,1,0.5,0,0,0.5,0.5,0,1.5,0,2,0.5,0,1,0,0.5
"2093","m.36021",202,"Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=2 SV=2",0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"2094","m.36024",385,"Seizure 6-like protein OS=Homo sapiens GN=SEZ6L PE=1 SV=1",12,11.5,1,7.5,11.5,1,4,16,18.5,15,16.5,3.5,3,15,10,3,3,12.5,12.5,12.5,13,3,4.5
"2095","m.36030",204,"m.36030",0,0,0.5,0,0,0,1,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0
"2096","m.36038",113,"m.36038",0,0,2,0,0,0,1,0,0,0,0,0,1.5,0,0,2,0,0,0,0,0,0,1
"2097","m.36043",110,"Mucin-6 OS=Homo sapiens GN=MUC6 PE=1 SV=3",0,0,1.5,0,0,2,2,0,0,0,0,1,2,0,0,2,1.5,0,0,0,0,2,2
"2098","m.36049",334,"5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Photobacterium profundum GN=mtnN PE=3 SV=1",6,6.5,4,1,5,1,2.5,5.5,5.5,5.5,3.5,0.5,3,2.5,0.5,0,2.5,2,3,1,2,1.5,2
"2099","m.36055",147,"Uncharacterized protein K03H1.5 OS=Caenorhabditis elegans GN=K03H1.5 PE=1 SV=2",0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0.5,1,1,0.5,0,1.5,1,0,1,0,0.5
"2100","m.36059",184,"m.36059",17,22,6.5,13.5,15.5,12,7.5,20,16,18,18,9,7,15.5,12,7.5,6,17,17,16,15,8.5,7.5
"2101","m.36079",426,"Predicted protein OS=Nematostella vectensis GN=v1g246930 PE=4 SV=1",0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"2102","m.36115",122,"m.36115",0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"2103","m.36120",197,"Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2",1,1,1,0,0.5,1,0,1,1,0,0,1.5,0,0.5,0,1,0,0,0,0,0,1,0
"2104","m.36124",147,"Predicted protein OS=Nematostella vectensis GN=v1g199871 PE=4 SV=1",2.66666666666667,2,0,2,2.5,0,0,2,4,2.5,2.5,0,0,3,2,0,0,1.5,3,1.5,3,0,0
"2105","m.3619",642,"Sec1 family domain-containing protein 1 OS=Mus musculus GN=Scfd1 PE=1 SV=1",1.33333333333333,0,0.5,0,1,1.5,0,0.5,2,1.5,0,1.5,0,1,0.5,0.5,0,0.5,0,0,1,1.5,0
"2106","m.362",112,"AP-1 complex subunit sigma-2 OS=Homo sapiens GN=AP1S2 PE=1 SV=1",0.666666666666667,0.5,0.5,0,0,1.5,0.5,1,1,0.5,1.5,1,1,0.5,0,0,0.5,0.5,0,0,1,0.5,1
"2107","m.3621",404,"Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2",1,2,0,0,0.5,0,0,1.5,1.5,1,1.5,0,0,1,1,0,0,1,1.5,1,1,0,0
"2108","m.36235",154,"Epididymal secretory protein E1 OS=Pan troglodytes GN=NPC2 PE=2 SV=1",7.33333333333333,8,1.5,3.5,4,2,0.5,6.5,5.5,5.5,5,1.5,3,4.5,1,1.5,1.5,0.5,2.5,5,4,2,1.5
"2109","m.3627",290,"Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1",2.33333333333333,4.5,1,2.5,6.5,2,1.5,4,5.5,3.5,3.5,1,1.5,4,2.5,2,0.5,0.5,1,2,3,1,2
"2110","m.36274",150,"E3 ubiquitin-protein ligase RNF181 OS=Xenopus laevis GN=rnf181 PE=2 SV=1",0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"2111","m.36293",247,"Pyrroline-5-carboxylate reductase 3 OS=Xenopus laevis GN=pycrl PE=2 SV=2",0.666666666666667,1.5,2,0.5,1.5,1.5,1.5,3.5,1,0,3,1.5,2.5,0.5,0,0.5,0.5,1,0.5,0,2,2,1
"2112","m.36294",179,"Filamin-A OS=Drosophila melanogaster GN=cher PE=1 SV=2",1.33333333333333,1.5,0,1,1,0,1.5,2.5,0.5,0.5,1.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
"2113","m.36295",190,"Pre-mRNA-processing factor 39 OS=Xenopus laevis GN=prpf39 PE=2 SV=1",0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2114","m.36305",120,"Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus GN=Snrpd1 PE=2 SV=1",2.33333333333333,0,0,0,0,0,0,2,0.5,0.5,1,0,0,0.5,0,0,0,0.5,0.5,0,1,0,0
"2115","m.36352",134,"Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4",0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0
"2116","m.36358",231,"m.36358",0.666666666666667,2.5,2.5,0,1.5,4.5,3.5,3.5,2.5,1.5,1,3.5,3,2,0,3,3.5,2,0,1,1,3,2.5
"2117","m.36410",251,"m.36410",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2118","m.36412",362,"Signal transducer and activator of transcription 5B OS=Sus scrofa GN=STAT5B PE=2 SV=1",3,1.5,3,0.5,1.5,1.5,1.5,2.5,0.5,1.5,1,1.5,1.5,1,0,0.5,1,1,2,0,2,3.5,1
"2119","m.36423",114,"Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_13036 PE=4 SV=1",0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"2120","m.365",460,"Phosphatidylserine decarboxylase proenzyme 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=psd3 PE=3 SV=2",29,26,17,5.5,13.5,15,24,26,25.5,27.5,37.5,15.5,18,26.5,20,13.5,14.5,20,22,14,14,13.5,24.5
"2121","m.36534",1157,"Low-density lipoprotein receptor-related protein 4 OS=Rattus norvegicus GN=Lrp4 PE=1 SV=2",0,0,0,0,0,0,0,3.5,0,0,1,0,0,2,0.5,0,0,4,4.5,2,8,0,0
"2122","m.36655",249,"m.36655",1,2,3,2,2,1.5,1.5,1.5,2,2.5,2,1.5,1.5,1,0,0.5,1,1.5,3.5,1,3,1.5,1.5
"2123","m.36657",206,"Nascent polypeptide-associated complex subunit alpha OS=Oreochromis niloticus GN=naca PE=2 SV=1",3.66666666666667,3.5,0.5,2,1.5,3.5,1,7,7,6.5,5.5,0,1,7,4.5,0,0,4.5,4,6,7,0.5,0
"2124","m.36658",156,"Universal stress protein Sll1388 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll1388 PE=3 SV=1",7.33333333333333,7,2,3,6.5,2.5,3,7,5.5,6.5,5,3.5,2.5,7.5,5.5,2,1.5,4.5,4.5,5,4,3,2
"2125","m.36659",126,"ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3",2.66666666666667,2.5,0,0,0.5,0,0,3,2.5,3,1,0,0,2,0,0,0,0.5,1,0,2,0,0
"2126","m.3666",213,"Predicted protein OS=Nematostella vectensis GN=v1g242530 PE=4 SV=1",31.6666666666667,34.5,20.5,26.5,33,28,20,34.5,31,34,25,16,24.5,33.5,15,16,18.5,40,35,30,38,25,16.5
"2127","m.36673",175,"Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1",0,0,0,0,0,1,0,0,0,2.5,0,0.5,0,0.5,0,1.5,0,3.5,6,4,4,0.5,0
"2128","m.36731",170,"Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3",6,5,3,4.5,8,8,4,5,5.5,5,3.5,6,4.5,5.5,3,4,1.5,4.5,5.5,6,5,7.5,6.5
"2129","m.3675",482,"Alpha-L-fucosidase 1 OS=Arabidopsis thaliana GN=FUC1 PE=1 SV=2",3.33333333333333,5,4.5,1.5,3,9,2,5.5,2.5,4.5,7,5.5,3,3.5,1.5,1,2,4,5.5,2.5,4,3,2
"2130","m.3689",731,"Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus GN=Usp5 PE=1 SV=1",1.66666666666667,1.5,2.5,1.5,4.5,2.5,3,2.5,4.5,3.5,3,3.5,4.5,3.5,2,1.5,2,1.5,2.5,1,2,4.5,1.5
"2131","m.3691",708,"Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Gallus gallus GN=APBB1IP PE=2 SV=1",1.33333333333333,1.5,0.5,0,1,1,0.5,4.5,2,1.5,1.5,0.5,0.5,0.5,0,0,0,1,0.5,0.5,1,0,1
"2132","m.36925",343,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_124060 PE=4 SV=1",0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"2133","m.3694",182,"FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Gallus gallus GN=FARP1 PE=1 SV=2",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0.5,0
"2134","m.37027",210,"Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_233315 PE=4 SV=1",0,0.5,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"2135","m.37151",120,"ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=2 SV=1",0,0.5,0,0,0.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
"2136","m.37180",248,"m.37180",0,0,0,0,0,0,0,0,0,3,0,0,0,3.5,0,0,0,1,1,0.5,1,0,0
"2137","m.37188",283,"Laminin-like protein epi-1 OS=Caenorhabditis elegans GN=epi-1 PE=1 SV=1",0.666666666666667,1,0,1,1,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2138","m.3719",533,"Protein APCDD1 OS=Xenopus tropicalis GN=apcdd1 PE=2 SV=1",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
"2139","m.3720",243,"Putative acyl-CoA synthetase YngI OS=Bacillus subtilis (strain 168) GN=yngI PE=3 SV=1",0.666666666666667,1,1,0,0,1,0.5,0.5,0,0.5,0,1.5,0.5,0,1,0.5,0,0,0.5,0,0,1,0
"2140","m.3723",105,"m.3723",2.33333333333333,1.5,2,0,0.5,2,1,2,2.5,0.5,2,1,1,1.5,1,0,0,1.5,1.5,1,0,2,1
"2141","m.37256",174,"Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1",0,0,1,0,0,1.5,0.5,0,0,0,0,1.5,1,0,0,0.5,0.5,0,0,0,0,1.5,0
"2142","m.3733",331,"Copine-4 OS=Mus musculus GN=Cpne4 PE=1 SV=1",0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
"2143","m.37396",133,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus GN=Svep1 PE=1 SV=1",7,4.5,1.5,2,6.5,2,1.5,5,5,5.5,6,1.5,2.5,5,5,2,2,4.5,4,3,7,1.5,3
"2144","m.3747",251,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88391 PE=4 SV=1",1,1,1.5,0,1.5,2,2,2.5,2,1.5,1.5,1,2,1.5,1.5,0.5,2.5,0.5,1.5,1,1,2,1
"2145","m.37474",159,"m.37474",21,14,0,3.5,6.5,0,0,10.5,14.5,5.5,10.5,0,0,12,9.5,0,0,5.5,10.5,5,8,0,0
"2146","m.3754",202,"Replicase polyprotein 1a OS=Human coronavirus HKU1 (isolate N1) GN=1a PE=1 SV=1",0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0
"2147","m.37557",428,"Uncharacterized family 31 glucosidase KIAA1161 OS=Mus musculus GN=Kiaa1161 PE=1 SV=2",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"2148","m.37559",262,"Tudor domain-containing protein 3 OS=Xenopus tropicalis GN=tdrd3 PE=2 SV=2",0.333333333333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2149","m.3760",164,"Universal stress protein Slr1101 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr1101 PE=3 SV=1",1.66666666666667,1,0,0,1,0,0,1.5,1,1,1.5,0,0,1,0,0,0,1,1,0,1,0,0
"2150","m.37637",179,"Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1",10.6666666666667,11.5,3.5,5,5.5,1.5,1.5,10.5,14.5,11,12,1,2.5,10,1.5,1.5,1.5,3,4.5,4.5,1,3,3
"2151","m.37732",163,"Putative late embryogenesis protein (Fragment) OS=Stylophora pistillata GN=g11651 PE=4 SV=1",1.33333333333333,1,1.5,0.5,3,2,1,0.5,0.5,1,0,0,2,1,1,0.5,1,0,0,0,0,1.5,2
"2152","m.37753",190,"Protein phosphatase inhibitor 2 OS=Oryctolagus cuniculus GN=PPP1R2 PE=1 SV=3",0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2153","m.3779",703,"Maestro heat-like repeat-containing protein family member 1 OS=Dictyostelium discoideum GN=mroh1 PE=4 SV=1",0.666666666666667,2.5,0,0,0.5,0,0.5,3,2.5,0,0,1,1.5,0,0,0.5,0,0,0,0,0,0,1
"2154","m.37794",114,"Polyadenylate-binding protein-interacting protein 2B OS=Mus musculus GN=Paip2b PE=2 SV=2",0,0,0,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
"2155","m.378",200,"Rho GDP-dissociation inhibitor 1 OS=Macaca fascicularis GN=ARHGDIA PE=2 SV=1",13,12,13.5,8.5,10.5,10.5,12,14.5,13.5,14,13,11,17,12,7,8,13.5,13.5,10.5,10.5,14,11.5,12.5
"2156","m.37817",183,"UPF0568 protein C14orf166 homolog OS=Pongo abelii PE=2 SV=1",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2157","m.37819",132,"Proprotein convertase subtilisin/kexin type 5 OS=Homo sapiens GN=PCSK5 PE=1 SV=4",0.333333333333333,1,0,0,0,0.5,0.5,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1
"2158","m.37833",126,"Nucleoside diphosphate kinase A1 OS=Xenopus laevis PE=2 SV=1",7,8.5,6,0,8.5,6.5,7.5,6.5,8,7,7.5,5,4.5,8,6,7,3.5,6.5,5.5,4.5,5,6,6.5
"2159","m.37897",102,"m.37897",0,0.5,0,0,1.5,0,0,1,0,0,0,0,0,1,1,0,0,0.5,0,0,1,0,0
"2160","m.37919",181,"m.37919",0.333333333333333,0.5,0.5,0,1,0.5,0,1,1,0.5,0.5,1,0.5,1,0.5,0,0,0.5,0,0,1,0.5,0
"2161","m.37922",139,"Thioredoxin, mitochondrial OS=Bos taurus GN=TXN2 PE=1 SV=2",2.66666666666667,2.5,3.5,2,2,2,2,2,2,2,2,1.5,1,2,1,0.5,0.5,1.5,1,2,1,1.5,1.5
"2162","m.37924",103,"Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2163","m.37941",99,"m.37941",0.333333333333333,0,0,1.5,1,0,0,0,1,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0
"2164","m.37958",188,"Rab GTPase-binding effector protein 1 OS=Rattus norvegicus GN=Rabep1 PE=1 SV=1",0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2165","m.37962",437,"m.37962",2.66666666666667,3,1.5,4,4.5,0,0.5,4,3.5,3.5,3,0,2,2,0,0.5,0,0,1,1,2,0,1.5
"2166","m.37963",226,"Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2",2.33333333333333,1,1,1,1.5,1.5,1.5,1,2.5,1,1.5,1.5,1,2,2,2,1,2,2,1.5,2,0.5,0
"2167","m.38034",178,"Lipoxygenase homology domain-containing protein 1 OS=Mus musculus GN=Loxhd1 PE=2 SV=1",0.666666666666667,1,0,0,1,0,0,1.5,1,0.5,1,0,0,0.5,0,0,0,0,0,0.5,1,0,0
