Protein,Len,WS1,WS2,WS3,WO1,WO2,WO3,LogFldChng-K28-K30vsK31-K33,Zstat-K28-K30vsK31-K33,fdr-K28-K30vsK31-K33,FDRup-K28-K30vsK31-K33,FDRdown-K28-K30vsK31-K33,DEFLINE
m.37891,120,0,0,1,0,1,0,-0.479,-0.5303,0.536594,0.955439,0.946815,Uncharacterized oxidoreductase YoxD OS=Bacillus subtilis (strain 168) GN=yoxD PE=3 SV=2
m.37903,120,0,0,0,0,0,0,-0.458,-0.544,0.539703,0.945922,0.9573,GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=1
m.37922,139,10,7,8,10,5,0,-0.864,-2.6228,0.419329,0.9923,0.093229,"Thioredoxin, mitochondrial OS=Bos taurus GN=TXN2 PE=1 SV=2"
m.37930,119,6,12,0,10,8,23,0.351,1.2188,1,0.329776,0.985397,Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1
m.37935,248,0,0,0,0,0,0,-0.465,-0.5145,0.534206,0.965531,0.936715,Collagen alpha-1(XX) chain OS=Mus musculus GN=Col20a1 PE=2 SV=3
m.37938,177,0,0,3,2,0,0,-0.688,-0.9888,1,0.877716,1,Ankyrin repeat domain-containing protein 54 OS=Rattus norvegicus GN=Ankrd54 PE=2 SV=1
m.3794,222,0,0,0,0,0,0,-0.509,-0.6018,0.563767,0.91213,1,Heterochromatin protein 1 OS=Drosophila virilis GN=HP1A PE=3 SV=1
m.37941,99,0,0,0,1,0,0,-0.42,-0.4655,0.534903,1,0.903834,m.37941
m.37958,188,0,0,0,0,0,0,-0.38,-0.4263,0.544323,1,0.882271,Rab GTPase-binding effector protein 1 OS=Rattus norvegicus GN=Rabep1 PE=1 SV=1
m.37962,437,0,1,4,2,2,2,-0.419,-0.7047,0.655159,0.875945,1,m.37962
m.37963,226,9,2,7,13,1,1,-0.592,-1.6294,1,0.982498,0.692735,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2
m.37973,255,0,0,2,0,0,0,-0.742,-0.8876,1,0.864931,1,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_90332 PE=4 SV=1
m.37985,105,0,0,1,0,1,0,-0.503,-0.5612,0.544989,0.935253,0.970357,Zinc metalloproteinase nas-15 OS=Caenorhabditis elegans GN=nas-15 PE=2 SV=2
m.38013,130,1,0,1,1,0,0,-0.535,-0.6166,0.572901,0.90552,1,THUMP domain-containing protein 1 OS=Mus musculus GN=Thumpd1 PE=1 SV=1
m.38016,118,1,1,1,1,0,0,-0.434,-0.5123,0.533979,0.967618,0.934744,GTP cyclohydrolase 1 feedback regulatory protein OS=Danio rerio GN=gchfr PE=3 SV=1
m.38026,211,0,1,5,1,5,1,-0.438,-0.7944,0.795966,0.863312,1,A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Rattus norvegicus GN=Adamts1 PE=2 SV=1
m.38035,133,0,0,0,0,0,2,-0.153,-0.2025,0.77677,1,0.824988,m.38035
m.38037,198,5,4,21,20,11,11,-0.062,-0.2665,0.674315,1,0.830955,Peptidyl-prolyl cis-trans isomerase FKBP14 OS=Mus musculus GN=Fkbp14 PE=2 SV=1
m.38038,462,17,48,40,9,44,51,-0.394,-2.8863,0.222757,0.986302,0.042555,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1
m.38041,516,0,0,7,0,0,0,-1.608,-2.3167,0.709875,0.998515,0.200912,m.38041
m.38073,190,10,3,2,3,4,10,-0.258,-0.6947,0.643243,0.878004,1,Uncharacterized HIT-like protein Synpcc7942_1390 OS=Synechococcus elongatus (strain PCC 7942) GN=Synpcc7942_1390 PE=4 SV=1
m.3808,609,52,109,40,54,89,51,-0.439,-4.139,0.001981,0.964789,0.000262,CUB and sushi domain-containing protein 2 OS=Homo sapiens GN=CSMD2 PE=1 SV=2
m.38108,101,0,0,0,0,0,0,-0.376,-0.4355,0.541389,1,0.886587,Galaxin-like 1 OS=Acropora millepora PE=2 SV=1
m.38126,238,0,0,1,0,0,0,-0.415,-0.4962,0.533041,0.980617,0.923264,Kinesin-like protein KIF13A OS=Homo sapiens GN=KIF13A PE=1 SV=2
m.38166,122,3,0,3,2,0,2,-0.838,-1.4277,1,0.9588,0.892401,m.38166
m.3817,410,1,0,0,0,0,0,-0.496,-0.5726,0.549355,0.928594,0.979328,Myotubularin-related protein 9 OS=Homo sapiens GN=MTMR9 PE=1 SV=1
m.38170,147,0,0,0,0,0,0,-0.417,-0.4886,0.533052,0.987423,0.917753,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2
m.38186,171,0,0,0,0,0,0,-0.469,-0.5627,0.545523,0.933556,0.972579,UDP-glucose:glycoprotein glucosyltransferase OS=Drosophila melanogaster GN=Ugt PE=1 SV=2
m.38187,122,0,1,0,2,3,0,0.371,0.4748,1,1,0.934701,CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2
m.38195,263,0,0,0,0,0,0,-0.432,-0.5134,0.534091,0.967617,0.934745,m.38195
m.38201,104,0,0,0,0,0,0,-0.378,-0.4345,0.541689,1,0.886588,Syntaxin-6 OS=Pongo abelii GN=STX6 PE=2 SV=1
m.38214,109,1,0,0,0,0,0,-0.369,-0.3961,0.557137,1,0.86787,m.38214
m.38259,102,0,0,0,0,0,0,-0.422,-0.5233,0.535379,0.959408,0.942727,WASH complex subunit strumpellin OS=Danio rerio GN=zgc:55908 PE=2 SV=1
m.38262,135,0,0,0,0,0,0,-0.413,-0.482,0.533306,0.992073,0.914167,AP-3 complex subunit beta-2 OS=Homo sapiens GN=AP3B2 PE=1 SV=2
m.38264,113,0,0,0,0,0,0,-0.426,-0.486,0.533123,0.989737,0.915951,Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus GN=Tomm22 PE=2 SV=3
m.3827,229,0,0,1,0,0,0,-0.369,-0.4122,0.549691,1,0.875448,Predicted protein OS=Nematostella vectensis GN=v1g242688 PE=4 SV=1
m.38282,359,0,0,6,0,0,0,-1.504,-2.009,1,1,0.37674,m.38282
m.3829,120,0,0,1,3,0,0,0.065,0.0814,1,1,0.858278,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g248390 PE=4 SV=1
m.38305,122,0,0,0,0,0,0,-0.503,-0.5758,0.550704,0.926984,0.981602,"Signal peptide, CUB and EGF-like domain-containing protein 1 OS=Mus musculus GN=Scube1 PE=2 SV=2"
m.38315,119,0,0,0,0,0,0,-0.305,-0.3545,0.583179,1,0.852758,m.38315
m.38316,177,0,0,0,0,0,0,-0.385,-0.4106,0.550363,1,0.875451,Dedicator of cytokinesis protein 9 OS=Homo sapiens GN=DOCK9 PE=1 SV=2
m.3835,317,1,0,1,1,1,0,-0.425,-0.4927,0.53301,0.982863,0.92141,m.3835
m.38357,164,0,0,0,0,0,0,-0.422,-0.4656,0.534889,1,0.903834,m.38357
m.38375,116,2,0,3,3,0,0,-0.668,-0.9693,1,0.874608,1,Hypoxia up-regulated protein 1 (Fragment) OS=Xenopus tropicalis GN=hyou1 PE=2 SV=2
m.3839,159,0,0,0,0,0,0,-0.471,-0.541,0.538939,0.94778,0.955173,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.38396,326,0,0,0,0,0,0,-0.374,-0.4191,0.546927,1,0.879489,(S)-coclaurine N-methyltransferase OS=Thalictrum flavum subsp. glaucum PE=1 SV=1
m.384,422,293,189,479,621,275,328,-0.15,-3.6281,0.018071,0.971627,0.002752,Failed axon connections homolog OS=Rattus norvegicus GN=Faxc PE=3 SV=1
m.38400,158,0,0,3,2,1,1,-0.693,-0.9773,1,0.875911,1,m.38400
m.38405,207,0,0,0,0,0,0,-0.491,-0.5832,0.554046,0.922297,0.988492,m.38405
m.38409,236,0,0,0,0,0,1,-0.457,-0.5178,0.534602,0.963467,0.938703,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g89715 PE=4 SV=1
m.38413,128,0,0,2,0,0,0,-0.697,-0.8425,0.898977,0.86251,1,Myosin regulatory light chain-like protein (Fragment) OS=Stylophora pistillata PE=4 SV=1
m.38421,218,0,0,2,1,0,0,-0.716,-0.8973,1,0.86564,1,Unconventional myosin-X OS=Rattus norvegicus GN=Myo10 PE=1 SV=1
m.3844,610,263,73,366,349,154,317,-0.233,-4.9908,0.000025,0.957865,0.000002,Putative flagellar-associated protein (Fragment) OS=Stylophora pistillata PE=4 SV=1
m.38453,193,0,0,0,0,0,0,-0.4,-0.4497,0.537734,1,0.894151,m.38453
m.38466,280,0,0,1,1,1,0,-0.396,-0.4335,0.54199,1,0.886589,Cytosolic beta-glucosidase OS=Pongo abelii GN=GBA3 PE=2 SV=1
m.38468,195,1,0,1,0,0,0,-0.435,-0.5069,0.533517,0.97186,0.93085,m.38468
m.38478,153,0,0,3,2,1,1,-0.725,-1.0194,1,0.883032,1,Myosin-IB OS=Drosophila melanogaster GN=Myo61F PE=1 SV=3
m.3848,241,0,0,0,0,0,0,-0.486,-0.5779,0.551625,0.9254,0.983887,m.3848
m.38509,319,2,1,2,3,0,0,-0.389,-0.6255,0.579004,0.90181,1,Uncharacterized methyltransferase-like C25B8.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC25B8.10 PE=3 SV=1
m.38525,104,0,0,0,0,0,0,-0.43,-0.517,0.534498,0.96553,0.936716,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1
m.38530,138,0,0,0,0,0,0,-0.463,-0.5311,0.536745,0.955438,0.946815,m.38530
m.38537,209,0,0,0,0,0,2,-0.161,-0.1955,0.790075,1,0.824805,Inosine triphosphate pyrophosphatase OS=Nematostella vectensis GN=v1g163483 PE=3 SV=1
m.38547,130,0,0,0,4,0,0,0.322,0.4274,1,1,0.927143,m.38547
m.38555,178,0,0,0,1,1,0,-0.464,-0.5064,0.53348,0.97186,0.93085,Prefoldin subunit 3 OS=Pongo abelii GN=VBP1 PE=2 SV=1
m.38570,122,0,0,0,0,0,0,-0.463,-0.5392,0.5385,0.949659,0.953062,RING-box protein 1 OS=Salmo salar GN=rbx1 PE=2 SV=2
m.38571,236,7,0,5,10,10,17,0.685,1.9641,0.23609,0.041694,0.979762,m.38571
m.3859,265,0,0,2,0,0,0,-0.845,-1.0203,1,0.883032,1,Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1
m.386,335,10,10,10,12,19,8,-0.138,-0.5727,0.549396,0.928594,0.979328,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1
m.38627,122,0,0,0,1,0,0,-0.478,-0.5483,0.540876,0.942275,0.961594,Dynactin subunit 1 OS=Rattus norvegicus GN=Dctn1 PE=1 SV=2
m.38633,275,17,22,25,35,24,30,-0.041,-0.2408,0.711441,1,0.827743,Alcohol dehydrogenase class-3 OS=Sparus aurata PE=2 SV=1
m.3865,151,0,0,0,0,0,0,-0.485,-0.5922,0.558509,0.917805,0.995483,m.3865
m.38685,106,0,0,0,0,0,1,-0.439,-0.4781,0.533554,0.994431,0.912401,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.38692,194,0,0,0,0,0,0,-0.452,-0.5143,0.534183,0.965531,0.936715,Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3
m.38693,226,0,0,1,0,0,0,-0.41,-0.4591,0.535896,1,0.900534,Uncharacterized protein OS=Capsaspora owczarzaki (strain ATCC 30864) GN=CAOG_03205 PE=4 SV=2
m.38705,99,0,0,0,0,0,1,-0.403,-0.4577,0.53614,1,0.898911,m.38705
m.3871,422,0,0,0,0,0,0,-0.478,-0.5523,0.54206,0.940485,0.963766,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1
m.3872,704,0,0,1,1,1,1,-0.45,-0.4858,0.533132,0.989737,0.915951,Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1
m.38763,128,0,0,0,0,0,0,-0.389,-0.4419,0.539614,1,0.891072,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Danio rerio GN=hibch PE=2 SV=1"
m.38783,129,0,0,0,1,0,0,-0.387,-0.4411,0.539822,1,0.889558,Ganglioside GM2 activator OS=Homo sapiens GN=GM2A PE=1 SV=4
m.38787,130,0,0,0,0,0,0,-0.519,-0.6,0.562743,0.913515,1,Polyamine-modulated factor 1-binding protein 1 OS=Crassostrea gigas GN=CGI_10023704 PE=4 SV=1
m.38797,138,0,0,0,0,0,1,-0.407,-0.4506,0.537543,1,0.895721,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3
m.388,373,0,0,1,0,0,1,-0.402,-0.463,0.535265,1,0.902175,Translocation protein SEC62 OS=Pongo abelii GN=SEC62 PE=2 SV=1
m.38803,131,1,0,0,0,0,0,-0.386,-0.4626,0.535327,1,0.902175,Phosphoglycerate kinase 1 OS=Macropus eugenii GN=PGK1 PE=2 SV=2
m.38847,116,0,0,0,2,2,0,0.155,0.1912,1,1,0.88157,Predicted protein OS=Nematostella vectensis GN=v1g247043 PE=4 SV=1
m.38848,117,0,0,0,0,0,0,-0.436,-0.4792,0.533479,0.994431,0.9124,m.38848
m.38866,198,0,0,0,0,0,0,-0.401,-0.4702,0.534305,1,0.907207,Lachesin OS=Schistocerca americana GN=LAC PE=1 SV=1
m.3893,323,0,0,0,0,1,0,-0.434,-0.5046,0.533366,0.974015,0.928929,La-related protein 4 OS=Mus musculus GN=Larp4 PE=2 SV=2
m.39,352,2,1,2,2,0,1,-0.655,-0.8534,0.925128,0.862815,1,Predicted protein OS=Nematostella vectensis GN=v1g244685 PE=4 SV=1
m.3912,229,3,2,2,3,3,4,-0.002,-0.0032,1,1,0.842053,m.3912
m.3914,142,6,7,15,31,19,16,0.491,2.3047,0.081537,0.012582,0.974067,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1
m.3917,159,1,0,1,0,0,0,-0.492,-0.5795,0.552339,0.923839,0.986181,Probable serine/threonine-protein kinase PkwA OS=Thermomonospora curvata GN=pkwA PE=3 SV=1
m.392,136,7,10,33,24,33,24,0.096,0.5308,1,1,0.942779,m.392
m.3922,691,0,0,0,0,0,0,-0.465,-0.5206,0.534978,0.961426,0.940707,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4
m.3929,668,0,1,0,0,0,0,-0.518,-0.6387,0.588924,0.89605,1,Dystrophin OS=Gallus gallus GN=DMD PE=2 SV=1
m.3935,369,0,0,0,0,0,0,-0.461,-0.5268,0.535957,0.957413,0.944763,Endothelin-converting enzyme 1 OS=Cavia porcellus GN=ECE1 PE=2 SV=1
m.3936,244,68,48,65,106,80,110,0.107,1.151,1,0.380927,0.984374,Dihydropteridine reductase OS=Bos taurus GN=QDPR PE=2 SV=1
m.3938,288,0,0,0,0,0,0,-0.35,-0.3883,0.561261,1,0.865495,m.3938
m.394,314,0,0,2,0,0,0,-0.817,-1.0132,1,0.881535,1,Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1
m.3942,152,0,0,0,1,0,0,-0.435,-0.5061,0.533458,0.97186,0.93085,m.3942
m.3943,170,0,0,0,0,1,0,-0.392,-0.4683,0.534534,1,0.905511,Peroxinectin OS=Hydra vulgaris PE=2 SV=1
m.3948,357,0,0,0,0,0,0,-0.379,-0.4075,0.551715,1,0.872847,Neurobeachin OS=Homo sapiens GN=NBEA PE=1 SV=3
m.395,594,7,1,12,6,6,13,-0.171,-0.5428,0.539389,0.945923,0.957298,Calnexin OS=Rattus norvegicus GN=Canx PE=1 SV=1
m.3952,496,1,0,0,0,0,0,-0.477,-0.5605,0.544744,0.935254,0.970356,m.3952
m.3953,259,0,0,0,1,0,0,-0.379,-0.3924,0.559054,1,0.866672,Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2
m.3957,187,0,0,0,5,0,0,0.518,0.6687,1,0.857002,0.958945,GTP-binding protein YPTM1 OS=Zea mays GN=YPTM1 PE=2 SV=2
m.3958,820,0,0,0,0,0,0,-0.541,-0.6248,0.578507,0.901811,1,CCR4-NOT transcription complex subunit 3 OS=Homo sapiens GN=CNOT3 PE=1 SV=1
m.3970,459,0,0,10,14,3,5,0.227,0.6398,1,0.888842,0.956049,Phenylalanine-4-hydroxylase OS=Bos taurus GN=PAH PE=2 SV=1
m.3976,1422,0,0,0,0,0,0,-0.513,-0.5618,0.545198,0.935251,0.970358,Cyclin-G-associated kinase OS=Rattus norvegicus GN=Gak PE=2 SV=1
m.3978,582,13,22,41,40,17,21,-0.361,-2.3154,0.711322,0.998515,0.200916,Tyrosine-protein phosphatase non-receptor type 11 OS=Gallus gallus GN=PTPN11 PE=2 SV=1
m.3981,180,0,2,0,0,0,2,-0.433,-0.5451,0.539989,0.94592,0.9573,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1
m.3988,161,0,6,3,2,9,5,0.105,0.2444,1,1,0.892826,Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2
m.399,137,0,4,0,0,7,1,0.044,0.0819,1,1,0.858278,Predicted protein OS=Nematostella vectensis GN=v1g199281 PE=4 SV=1
m.3991,359,0,0,0,0,0,0,-0.416,-0.4794,0.533465,0.994431,0.9124,Beta-1-syntrophin OS=Homo sapiens GN=SNTB1 PE=1 SV=3
m.3996,181,0,0,0,0,1,0,-0.367,-0.4089,0.551102,1,0.874139,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g131035 PE=4 SV=1
m.3998,153,0,0,0,1,0,0,-0.36,-0.4174,0.547587,1,0.878122,Predicted protein OS=Nematostella vectensis GN=v1g200847 PE=4 SV=1
m.4,1370,31,58,130,19,96,67,-0.578,-5.62,0,0.955256,0,Major yolk protein OS=Strongylocentrotus purpuratus PE=1 SV=2
m.400,180,0,0,1,0,0,0,-0.411,-0.4807,0.533376,0.992072,0.914168,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 OS=Xenopus laevis GN=ssu72 PE=2 SV=1
m.4004,580,0,0,0,0,0,0,-0.466,-0.5352,0.537595,0.951564,0.950963,Tetratricopeptide repeat protein 25 OS=Xenopus laevis GN=ttc25 PE=2 SV=1
m.401,181,17,15,17,72,15,17,0.353,1.8964,0.288364,0.051873,0.9809,ADP-ribosylation factor 1-like 2 OS=Caenorhabditis briggsae GN=arf-1.2 PE=3 SV=3
m.4010,258,0,0,0,0,0,0,-0.363,-0.4141,0.548904,1,0.876777,Uncharacterized protein OS=Oreochromis niloticus PE=4 SV=1
m.4023,352,1,0,1,0,2,0,-0.097,-0.1137,0.979008,1,0.827164,Neurocan core protein OS=Rattus norvegicus GN=Ncan PE=1 SV=1
m.4025,297,0,0,0,0,0,0,-0.382,-0.4127,0.549481,1,0.875447,"Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus GN=Dmgdh PE=1 SV=1"
m.4026,349,6,1,6,3,5,3,-0.584,-1.4142,1,0.956714,0.906484,Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1
m.405,356,0,0,0,0,0,0,-0.421,-0.4788,0.533506,0.994431,0.912401,DnaJ homolog subfamily B member 11 OS=Rattus norvegicus GN=Dnajb11 PE=2 SV=1
m.406,119,0,0,4,1,2,3,-0.333,-0.5491,0.541108,0.942275,0.961596,m.406
m.4060,241,0,0,0,0,0,0,-0.414,-0.4685,0.534508,1,0.905511,m.4060
m.408,537,0,0,1,1,0,0,-0.44,-0.5154,0.534312,0.965531,0.936716,Non-specific lipid-transfer protein OS=Oryctolagus cuniculus GN=SCP2 PE=1 SV=1
m.4080,465,0,0,0,0,0,0,-0.417,-0.498,0.533078,0.978394,0.925135,"Dynein heavy chain 6, axonemal OS=Homo sapiens GN=DNAH6 PE=1 SV=3"
m.4087,293,0,0,0,0,0,0,-0.417,-0.4759,0.533734,0.996811,0.910652,OTU domain-containing protein 6B OS=Danio rerio GN=otud6b PE=2 SV=1
m.4088,209,0,0,0,0,0,1,-0.367,-0.3854,0.562882,1,0.864334,m.4088
m.4092,124,373,523,199,217,371,409,-0.487,-10.7308,0,0.950843,0,m.4092
m.4094,218,0,0,1,5,0,0,0.414,0.5954,1,0.940209,0.950992,Putative 1-aminocyclopropane-1-carboxylate deaminase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) GN=TM_0225 PE=3 SV=1
m.4104,181,0,0,0,0,0,0,-0.384,-0.4323,0.54236,1,0.88513,Low density lipoprotein receptor adapter protein 1 OS=Homo sapiens GN=LDLRAP1 PE=1 SV=3
m.4111,173,3,4,4,10,1,4,-0.082,-0.1888,0.803219,1,0.824616,Phosphotriesterase-related protein OS=Nematostella vectensis GN=v1g177083 PE=3 SV=1
m.4114,1059,0,0,0,0,0,0,-0.443,-0.4781,0.533554,0.994431,0.912401,Cartilage oligomeric matrix protein OS=Bos taurus GN=COMP PE=1 SV=2
m.4131,303,1,1,4,0,0,0,-1.162,-1.5363,1,0.973089,0.782914,Leucine zipper transcription factor-like protein 1 OS=Homo sapiens GN=LZTFL1 PE=1 SV=1
m.416,307,0,0,1,0,1,1,-0.429,-0.5233,0.535379,0.959408,0.942727,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens GN=SLC25A11 PE=1 SV=3
m.4166,132,0,0,2,1,0,1,-0.79,-0.9938,1,0.878177,1,Ubiquitin-fold modifier-conjugating enzyme 1 OS=Nematostella vectensis GN=v1g214407 PE=3 SV=1
m.4179,920,0,0,0,0,0,0,-0.495,-0.5868,0.555776,0.920776,0.990813,Transportin-3 OS=Mus musculus GN=Tnpo3 PE=1 SV=1
m.4183,428,0,0,0,0,0,0,-0.458,-0.5241,0.535507,0.959408,0.942728,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2
m.4186,1024,0,0,0,1,2,0,-0.058,-0.0727,1,1,0.831484,UPF0577 protein KIAA1324-like homolog OS=Mus musculus PE=2 SV=1
m.4192,379,4,0,8,4,3,2,-0.754,-1.7192,1,0.989456,0.609128,Protein phosphatase 1B OS=Mus musculus GN=Ppm1b PE=1 SV=1
m.4199,411,0,0,0,0,0,0,-0.471,-0.5541,0.542617,0.938719,0.965947,Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1
m.4212,929,56,14,52,31,40,76,-0.208,-1.5727,1,0.97708,0.747,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Xenopus laevis GN=aldh1l1 PE=2 SV=1
m.4220,235,0,0,1,1,0,0,-0.395,-0.4392,0.540338,1,0.889559,Quinone oxidoreductase-like protein 2 homolog OS=Nematostella vectensis GN=v1g238856 PE=3 SV=1
m.4224,397,3,3,5,11,1,0,-0.246,-0.6402,0.590116,0.896046,1,Proliferation-associated protein 2G4 OS=Mus musculus GN=Pa2g4 PE=1 SV=3
m.4229,273,0,0,1,0,2,2,0.15,0.193,1,1,0.88217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Bos taurus GN=NDUFS3 PE=1 SV=1"
m.423,229,3,12,19,12,15,13,-0.243,-1.0815,1,0.89477,1,Calcyphosin-like protein OS=Mus musculus GN=Capsl PE=2 SV=4
m.4233,452,0,0,1,0,0,1,-0.516,-0.623,0.577241,0.903024,1,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Nematostella vectensis GN=v1g172254 PE=3 SV=1"
m.4234,287,0,0,4,0,1,0,-1.212,-1.597,1,0.979351,0.725131,m.4234
m.4236,291,0,0,0,0,0,0,-0.479,-0.4861,0.533119,0.989737,0.915951,Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1
m.4238,164,0,0,0,0,0,0,-0.441,-0.4901,0.533029,0.985132,0.919573,Egg protein OS=Euphyllia ancora PE=2 SV=1
m.4244,659,0,0,0,0,0,0,-0.297,-0.3568,0.581475,1,0.852753,Pre-mRNA-processing factor 6 OS=Mus musculus GN=Prpf6 PE=2 SV=1
m.4250,288,19,18,32,34,25,27,-0.171,-1.0628,1,0.890916,1,"Spectrin alpha chain, non-erythrocytic 1 OS=Gallus gallus GN=SPTAN1 PE=1 SV=3"
m.4258,597,0,0,0,0,0,0,-0.461,-0.5366,0.537899,0.951562,0.950964,Predicted protein OS=Nematostella vectensis GN=v1g241726 PE=4 SV=1
m.426,811,0,0,1,6,9,5,1.575,2.3133,0.07927,0.012188,0.973936,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3
m.4262,945,0,0,1,0,0,0,-0.387,-0.4396,0.540229,1,0.889559,Receptor-type tyrosine-protein phosphatase delta OS=Mus musculus GN=Ptprd PE=1 SV=3
m.4268,630,6,2,6,6,3,4,-0.454,-1.1523,1,0.908955,1,von Willebrand factor D and EGF domain-containing protein OS=Homo sapiens GN=VWDE PE=2 SV=4
m.4279,306,0,0,2,0,0,0,-0.772,-1.0339,1,0.885592,1,Serine/threonine-protein kinase Sgk1 OS=Bos taurus GN=SGK1 PE=2 SV=1
m.428,332,3,1,6,3,3,2,-0.662,-1.392,1,0.953255,0.928963,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1
m.4281,164,0,10,0,1,1,0,-1.882,-2.7156,0.342601,0.990214,0.071656,UPF0462 protein C4orf33 homolog OS=Mus musculus GN=D3Ertd751e PE=2 SV=1
m.4286,402,0,1,2,0,0,0,-0.727,-0.9507,1,0.871757,1,m.4286
m.4288,435,0,0,0,0,0,0,-0.423,-0.4837,0.533216,0.989737,0.915952,Neuropeptide FF receptor 2 OS=Homo sapiens GN=NPFFR2 PE=1 SV=2
m.429,369,1,0,2,2,2,3,0.198,0.3081,1,1,0.905852,Nuclear receptor subfamily 2 group F member 1-A OS=Danio rerio GN=nr2f1a PE=2 SV=1
m.4296,880,0,0,1,0,0,0,-0.388,-0.4387,0.540473,1,0.88956,m.4296
m.43,257,2,5,9,22,5,14,0.556,1.8527,0.327085,0.059805,0.981638,FAD-linked oxidoreductase DDB_G0289697 OS=Dictyostelium discoideum GN=DDB_G0289697 PE=2 SV=1
m.4301,728,0,0,0,0,0,0,-0.383,-0.4337,0.54193,1,0.886589,PC3-like endoprotease variant B OS=Hydra vulgaris PE=2 SV=1
m.4304,248,1,0,4,16,7,4,1.114,2.5756,0.031678,0.004247,0.970182,Pathogenesis-related protein PRB1-2 OS=Hordeum vulgare PE=2 SV=1
m.4309,396,0,4,4,7,5,1,0.026,0.0607,1,1,0.853705,Predicted protein OS=Nematostella vectensis GN=v1g197226 PE=4 SV=1
m.431,153,4,0,5,6,3,5,-0.087,-0.2089,0.764983,1,0.825365,"Acyl carrier protein, mitochondrial OS=Pan troglodytes GN=NDUFAB1 PE=2 SV=1"
m.4326,136,1,1,0,1,0,3,0.184,0.2252,1,1,0.888718,Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=2
m.4327,322,11,17,10,3,5,8,-1.272,-4.2687,0.001013,0.963377,0.000137,Glutamyl aminopeptidase OS=Sus scrofa GN=ENPEP PE=1 SV=1
m.4330,257,2,2,2,10,1,5,0.622,1.2165,1,0.331816,0.985362,UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2
m.4332,180,0,0,1,0,0,0,-0.443,-0.4938,0.533013,0.982863,0.92141,Partner of Y14 and mago OS=Mus musculus GN=Wibg PE=2 SV=2
