Protein,Len,HS1,HS2,HS3,HD1,HD2,HD3,LogFldChng-K34-K36vsK37-K39,Zstat-K34-K36vsK37-K39,fdr-K34-K36vsK37-K39,FDRup-K34-K36vsK37-K39,FDRdown-K34-K36vsK37-K39,DEFLINE
m.28438,291,4,4,5,1,3,0,-1.047,-1.8862,0.840694,0.995502,0.240508,Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1
m.28439,156,0,0,0,0,0,0,-0.031,-0.0332,0.528669,0.969394,0.941589,Collagen alpha-1(XXIV) chain OS=Homo sapiens GN=COL24A1 PE=2 SV=2
m.2844,225,1,0,1,0,0,0,-0.12,-0.1382,0.541787,0.895453,1,m.2844
m.28444,404,2,4,10,4,4,2,-0.515,-1.2409,1,0.973974,0.763573,Eukaryotic initiation factor 4A-III OS=Rattus norvegicus GN=Eif4a3 PE=1 SV=1
m.2848,287,5,16,23,0,15,21,-0.196,-0.8389,1,0.912661,1,Putative methyltransferase 235L OS=Invertebrate iridescent virus 6 GN=IIV6-235L PE=3 SV=1
m.28488,234,0,0,1,0,0,0,-0.07,-0.0805,0.527478,0.932189,0.976593,m.28488
m.28493,190,16,0,0,6,11,4,0.146,0.4706,1,1,0.875079,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1
m.28497,512,0,1,0,0,0,0,-0.029,-0.0331,0.528684,0.969394,0.941589,Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=1 SV=3
m.285,338,0,3,3,0,3,3,-0.046,-0.0857,0.528047,0.927382,0.982067,N-terminal EF-hand calcium-binding protein 1 OS=Rattus norvegicus GN=Necab1 PE=1 SV=1
m.28515,510,0,1,0,1,2,0,0.281,0.337,1,1,0.854801,m.28515
m.28519,329,4,9,8,6,6,5,-0.217,-0.6859,1,0.878904,1,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1
m.28520,237,0,0,0,0,0,4,0.675,0.9252,1,0.876378,0.962305,m.28520
m.2853,518,1,9,7,7,9,9,0.373,1.2414,1,0.540011,0.992365,Sorting nexin-8 OS=Homo sapiens GN=SNX8 PE=1 SV=1
m.28530,235,0,0,0,0,0,0,-0.077,-0.0856,0.528033,0.927382,0.982067,Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1
m.28534,505,29,39,31,35,61,73,0.517,4.0174,0.000135,0.000016,0.965633,Kielin/chordin-like protein OS=Xenopus laevis GN=kcp PE=2 SV=1
m.28537,125,1,4,7,1,2,4,-0.596,-1.2614,1,0.975831,0.742747,Prefoldin subunit 1 OS=Bos taurus GN=PFDN1 PE=2 SV=1
m.28543,396,0,1,0,0,0,0,-0.087,-0.1057,0.531564,0.915926,0.996253,Predicted protein OS=Nematostella vectensis GN=v1g243916 PE=4 SV=1
m.28546,235,66,73,31,58,72,62,0.117,1.1037,1,0.674969,0.982765,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2
m.2856,532,55,77,102,90,113,69,0.139,1.5346,1,0.310214,1,Putative glycerol kinase 3 OS=Homo sapiens GN=GK3P PE=5 SV=2
m.28572,219,0,0,2,0,0,0,-0.383,-0.461,1,0.837813,1,Predicted protein OS=Nematostella vectensis GN=v1g239942 PE=4 SV=1
m.28573,125,0,0,0,0,5,0,0.787,1.1405,1,0.639664,0.985601,m.28573
m.28584,436,0,0,2,1,0,0,-0.417,-0.542,1,0.849412,1,Zinc finger protein 318 (Fragment) OS=Mus musculus GN=Znf318 PE=1 SV=2
m.2860,768,47,42,76,79,28,50,-0.065,-0.5863,1,0.857718,1,Neural cell adhesion molecule 1 OS=Gallus gallus GN=NCAM1 PE=1 SV=3
m.28601,246,0,0,5,0,2,0,-0.653,-0.9685,1,0.937504,1,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2
m.28602,164,4,0,1,4,5,3,0.684,1.3764,1,0.422759,0.99784,m.28602
m.28620,138,3,2,1,0,0,10,0.7,1.3462,1,0.447557,0.996918,Ubiquitin-like modifier-activating enzyme 6 OS=Mus musculus GN=Uba6 PE=1 SV=1
m.28644,209,0,0,0,0,0,0,-0.128,-0.1466,0.545345,0.889941,1,Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2
m.28660,126,0,0,0,0,0,0,-0.09,-0.1079,0.532086,0.913735,0.999171,m.28660
m.28662,374,0,19,6,0,0,0,-2.342,-3.4304,0.010776,0.968611,0.001312,Uncharacterized aminotransferase C777.03c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC777.03c PE=3 SV=1
m.28687,461,0,0,0,1,0,1,-0.046,-0.0524,0.526788,0.952698,0.955867,Hexokinase-3 OS=Rattus norvegicus GN=Hk3 PE=2 SV=1
m.28689,291,0,0,0,0,0,0,-0.038,-0.0424,0.527529,0.960908,0.94859,Diphthine synthase OS=Mus musculus GN=Dph5 PE=2 SV=2
m.287,615,0,0,0,0,0,0,-0.091,-0.1047,0.531345,0.915928,0.996252,Probable ribonuclease ZC3H12B OS=Homo sapiens GN=ZC3H12B PE=2 SV=2
m.28742,295,0,7,7,7,2,4,-0.183,-0.4621,1,0.837809,1,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1
m.28745,123,0,0,0,0,0,0,-0.037,-0.0449,0.52729,0.95814,0.950986,Amiloride-sensitive amine oxidase [copper-containing] OS=Rattus norvegicus GN=Aoc1 PE=2 SV=1
m.28755,157,0,0,0,3,0,0,0.545,0.6941,1,1,0.922156,predicted protein [Nematostella vectensis]
m.2877,192,0,2,1,2,0,1,0.082,0.1126,0.609923,1,0.871481,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2
m.28770,229,6,8,8,7,0,8,-0.358,-1.1061,1,0.958746,0.905672,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1
m.28774,853,0,0,2,0,1,1,-0.411,-0.4927,1,0.84146,1,Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus GN=Eif3c PE=1 SV=1
m.28775,138,0,1,2,1,1,2,-0.037,-0.0535,0.52674,0.952698,0.955866,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2
m.28777,363,0,0,0,0,0,1,-0.038,-0.0417,0.527597,0.960907,0.948591,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.2878,281,78,116,138,29,84,105,-0.431,-5.0701,0.000001,0.958883,0,m.2878
m.288,547,0,0,1,0,0,0,-0.064,-0.076,0.527091,0.934641,0.973898,Transportin-1 OS=Bos taurus GN=TNPO1 PE=1 SV=2
m.2882,499,0,0,0,0,0,0,0.023,0.0265,0.547001,1,0.907187,"Beta,beta-carotene 15,15_-monooxygenase OS=Gallus gallus GN=BCMO1 PE=1 SV=1"
m.28820,245,29,59,47,41,62,44,0.081,0.7194,1,1,0.92694,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4"
m.28880,200,1,1,1,0,0,2,0.306,0.3635,1,1,0.857822,m.28880
m.28896,106,0,0,0,0,0,0,-0.114,-0.1349,0.540491,0.897355,1,UBX domain-containing protein 1 OS=Xenopus tropicalis GN=ubxn1 PE=2 SV=1
m.28935,237,0,0,0,0,0,0,-0.001,-0.0009,0.536194,0.996439,0.92226,Cholinesterase 1 (Fragment) OS=Branchiostoma lanceolatum GN=CHE1 PE=3 SV=1
m.2894,181,0,0,0,0,0,0,-0.119,-0.13,0.538672,0.899291,1,"HIG1 domain family member 2A, mitochondrial OS=Homo sapiens GN=HIGD2A PE=1 SV=1"
m.28951,263,0,0,0,0,0,0,-0.034,-0.0381,0.528002,0.963706,0.946227,Oxysterol-binding protein-related protein 9 OS=Xenopus tropicalis GN=osbpl9 PE=2 SV=1
m.28970,155,1,2,1,1,0,1,-0.366,-0.4553,1,0.837133,1,m.28970
m.28999,107,5,7,8,0,8,20,0.387,1.3235,1,0.467482,0.996084,m.28999
m.29,104,38,50,43,77,60,75,0.468,4.2848,0.000029,0.000003,0.963253,Peptidyl-prolyl cis-trans isomerase CYP19-1 OS=Arabidopsis thaliana GN=CYP19-1 PE=1 SV=1
m.29003,159,0,0,0,0,0,0,-0.06,-0.0727,0.526876,0.937125,0.971233,Mitogen-activated protein kinase kinase kinase 3 OS=Mus musculus GN=Map3k3 PE=1 SV=1
m.29065,171,0,0,0,0,0,0,-0.079,-0.0899,0.528618,0.925027,0.984848,Predicted protein OS=Nematostella vectensis GN=v1g238199 PE=4 SV=1
m.2908,2325,1,1,4,0,1,0,-0.842,-1.0487,1,0.950658,0.966993,m.2908
m.29084,160,6,6,0,3,0,13,0.283,0.7589,1,1,0.934839,m.29084
m.29115,136,0,0,0,1,0,0,-0.057,-0.0642,0.52658,0.944769,0.963416,Predicted protein OS=Nematostella vectensis GN=v1g239078 PE=4 SV=1
m.29128,214,0,0,0,0,0,0,-0.103,-0.123,0.536302,0.903257,1,m.29128
m.29136,123,0,3,1,2,0,1,-0.202,-0.2709,0.647344,0.845122,1,m.29136
m.29137,625,0,0,2,0,0,0,-0.352,-0.4339,0.958954,0.835433,1,Predicted protein OS=Nematostella vectensis GN=v1g243188 PE=4 SV=1
m.29142,223,9,9,8,4,2,29,0.304,1.1314,1,0.646639,0.985059,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1
m.29147,109,6,0,1,0,0,0,-1.057,-1.5308,1,0.991778,0.489228,m.29147
m.2915,419,0,0,0,0,0,0,-0.093,-0.107,0.531872,0.913736,0.99917,Uncharacterized protein YMR196W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR196W PE=1 SV=1
m.29180,138,0,0,0,0,0,0,-0.024,-0.0295,0.529253,0.972283,0.939317,Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Xenopus tropicalis GN=bloc1s1 PE=2 SV=1
m.29182,126,0,0,0,0,0,0,-0.09,-0.1024,0.530839,0.91593,0.996248,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens GN=TAF6 PE=1 SV=1
m.29183,293,0,0,0,0,0,0,-0.032,-0.0382,0.52799,0.963706,0.946227,Lysine-specific demethylase 8 OS=Danio rerio GN=kdm8 PE=2 SV=1
m.29192,208,0,0,0,0,1,2,0.32,0.3781,1,1,0.8596,Predicted protein OS=Nematostella vectensis GN=v1g247993 PE=4 SV=1
m.29199,285,0,2,0,2,0,0,0.007,0.0087,0.539513,1,0.916374,Receptor-type tyrosine-protein phosphatase F OS=Danio rerio GN=ptprf PE=2 SV=1
m.29201,116,1,5,0,0,0,0,-0.923,-1.2098,1,0.970988,0.795103,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g134593 PE=4 SV=1
m.29213,188,0,0,0,0,0,0,-0.02,-0.0246,0.53013,0.9752,0.937078,Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4
m.29219,277,54,76,85,62,64,58,-0.172,-1.7824,1,0.995895,0.301854,14-3-3 protein zeta OS=Aedes aegypti GN=14-3-3zeta PE=2 SV=1
m.29240,253,36,44,34,33,34,24,-0.25,-1.8151,0.956994,0.995878,0.28096,3-hydroxybutyrate dehydrogenase type 2 OS=Lithobates catesbeiana GN=bdh2 PE=2 SV=1
m.29243,103,0,0,0,0,0,0,-0.155,-0.1729,0.559055,0.878182,1,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_90332 PE=4 SV=1
m.29247,409,0,0,0,0,0,0,-0.088,-0.1096,0.532497,0.911576,1,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2
m.29249,121,0,12,3,3,2,8,-0.19,-0.4936,1,0.841928,1,m.29249
m.2928,364,0,2,0,0,5,5,1.141,1.7166,0.79093,0.206918,0.999635,Teneurin-1 OS=Caenorhabditis elegans GN=ten-1 PE=1 SV=1
m.29291,227,0,0,0,0,0,0,-0.072,-0.0834,0.527781,0.929769,0.979316,C-type mannose receptor 2 OS=Mus musculus GN=Mrc2 PE=1 SV=3
m.29299,328,1,1,1,10,3,6,1.927,3.3459,0.00407,0.000524,0.973381,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1
m.29336,387,0,1,0,0,0,0,-0.089,-0.1078,0.532062,0.913735,0.999171,m.29336
m.29343,368,0,7,3,1,1,2,-1.059,-1.7484,1,0.995795,0.323821,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1"
m.2935,127,0,0,0,0,0,0,-0.102,-0.1149,0.533892,0.909445,1,Lactadherin OS=Mus musculus GN=Mfge8 PE=1 SV=3
m.29350,356,0,0,0,1,0,0,-0.093,-0.1041,0.531213,0.915929,0.996252,Isoaspartyl peptidase/L-asparaginase OS=Xenopus laevis GN=asrgl1 PE=2 SV=1
m.2936,227,0,0,1,0,0,0,-0.042,-0.044,0.527374,0.960909,0.94859,Ubiquitin carboxyl-terminal hydrolase 4 OS=Bos taurus GN=USP4 PE=2 SV=1
m.2937,301,0,0,0,0,0,2,0.346,0.4148,1,1,0.865261,Predicted protein OS=Nematostella vectensis GN=v1g247680 PE=4 SV=1
m.29378,194,0,0,0,0,0,0,-0.016,-0.0173,0.531678,0.984137,0.930538,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.29414,119,0,4,2,2,0,5,0.135,0.2556,0.837588,1,0.851029,Predicted protein OS=Nematostella vectensis GN=v1g216575 PE=4 SV=1
m.29421,307,0,0,0,0,0,0,-0.155,-0.1622,0.55301,0.883032,1,G-protein coupled receptor 98 OS=Danio rerio GN=gpr98 PE=2 SV=1
m.29428,193,46,92,89,47,31,100,-0.26,-2.5806,0.169135,0.980979,0.037854,Dihydrofolate reductase OS=Drosophila melanogaster GN=Dhfr PE=1 SV=3
m.29431,334,0,0,0,0,0,0,-0.149,-0.1674,0.555863,0.879771,1,Zinc metalloproteinase nas-15 OS=Caenorhabditis elegans GN=nas-15 PE=2 SV=2
m.29439,129,0,0,0,0,0,0,-0.101,-0.1088,0.532299,0.913733,0.999172,m.29439
m.29444,108,0,0,0,0,0,0,-0.055,-0.0618,0.526559,0.944769,0.963416,Uridine 5_-monophosphate synthase OS=Bos taurus GN=UMPS PE=2 SV=1
m.29448,381,0,0,0,0,0,0,-0.066,-0.0775,0.527209,0.934641,0.973899,SLIT-ROBO Rho GTPase-activating protein 3 OS=Mus musculus GN=Srgap3 PE=1 SV=1
m.2945,198,4,0,0,1,6,4,0.626,1.211,1,0.568879,0.990598,m.2945
m.29450,117,0,3,0,2,7,1,0.785,1.3272,1,0.464602,0.996209,m.29450
m.29463,212,0,0,0,0,0,0,0.004,0.0041,0.537863,1,0.918302,Sodium-dependent phosphate transport protein 2B OS=Mus musculus GN=Slc34a2 PE=2 SV=1
m.29488,137,0,1,0,1,1,0,-0.022,-0.0248,0.530093,0.9752,0.937078,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2
m.29493,482,0,0,0,0,0,0,-0.043,-0.051,0.526858,0.955405,0.95341,Uncharacterized protein OS=Strigamia maritima PE=4 SV=1
m.29499,309,0,0,0,0,0,0,-0.007,-0.0082,0.53401,0.99023,0.926338,HYL1-like b protein (Fragment) OS=Nematostella vectensis PE=2 SV=1
m.295,166,3,4,13,5,5,4,-0.407,-1.1151,1,0.960069,0.894881,40S ribosomal protein S10 OS=Spodoptera frugiperda GN=RpS10 PE=2 SV=1
m.29511,112,1,1,0,0,0,0,-0.028,-0.0331,0.528684,0.969394,0.941589,Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1
m.29519,144,0,0,0,0,0,0,-0.067,-0.0796,0.527391,0.932189,0.976593,Predicted protein OS=Nematostella vectensis GN=v1g240746 PE=4 SV=1
m.29523,191,22,49,77,48,43,39,-0.153,-1.221,1,0.97201,0.784552,Neurocalcin homolog OS=Drosophila melanogaster GN=Nca PE=1 SV=2
m.29527,167,6,9,0,10,5,9,0.375,1.199,1,0.578692,0.989961,Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4
m.29546,408,0,3,0,0,0,3,-0.014,-0.0194,0.53121,0.981127,0.932687,Netrin receptor UNC5C OS=Gallus gallus GN=UNC5C PE=2 SV=1
m.29555,128,0,0,0,0,0,0,-0.016,-0.0173,0.531678,0.984137,0.930538,m.29555
m.29572,122,0,0,0,0,0,0,0.026,0.0303,0.548831,1,0.903721,m.29572
m.29573,135,0,0,0,0,0,0,-0.111,-0.1303,0.538781,0.899291,1,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85658 PE=4 SV=1
m.29582,292,0,2,0,0,0,0,-0.393,-0.511,1,0.844394,1,Ferric-chelate reductase 1 OS=Mus musculus GN=FRRS1 PE=1 SV=1
m.29595,164,0,0,0,0,0,0,0.043,0.0463,0.557449,1,0.897171,m.29595
m.29599,227,0,0,0,0,0,0,-0.016,-0.0194,0.53121,0.981127,0.932687,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=2 SV=2
m.29601,249,0,3,0,0,0,0,-0.611,-0.7848,1,0.900977,1,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Rattus norvegicus GN=Gp2 PE=1 SV=1
m.29602,100,0,0,1,0,0,0,-0.035,-0.0419,0.527577,0.960908,0.948591,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2
m.29606,138,0,1,2,1,0,3,0.255,0.356,1,1,0.856608,Uncharacterized protein OS=Xenococcus sp. PCC 7305 GN=Xen7305DRAFT_00025450 PE=4 SV=1
m.29615,242,0,0,0,0,0,0,-0.137,-0.1604,0.552052,0.883035,1,Coagulation factor VIII OS=Canis familiaris GN=F8 PE=2 SV=1
m.29620,137,0,0,0,0,0,0,-0.091,-0.1024,0.530839,0.91593,0.996248,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.29674,496,0,0,0,0,0,0,-0.103,-0.1276,0.537835,0.901257,1,m.29674
m.297,271,8,8,9,8,12,11,0.226,0.8634,1,0.948349,0.953166,Syntaxin-12 OS=Mus musculus GN=Stx12 PE=1 SV=1
m.2970,816,2,0,0,2,5,1,0.742,1.1855,1,0.59194,0.989072,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 OS=Xenopus laevis GN=plcd4 PE=2 SV=1"
m.2971,483,0,0,0,0,0,0,-0.042,-0.0492,0.52697,0.955404,0.953411,Ubiquitin carboxyl-terminal hydrolase 4 OS=Rattus norvegicus GN=Usp4 PE=1 SV=1
m.29715,126,0,0,0,0,0,0,-0.06,-0.0702,0.526752,0.939641,0.968598,UPF0553 protein v1g230591 OS=Nematostella vectensis GN=v1g230591 PE=3 SV=1
m.29746,242,0,0,0,0,0,0,-0.009,-0.011,0.533243,0.987167,0.928425,Toll-like receptor 2 OS=Macaca mulatta GN=TLR2 PE=2 SV=1
m.2975,338,0,2,0,0,0,0,-0.39,-0.4773,1,0.839725,1,ATP grasp ligase OS=Microcystis aeruginosa PCC 9701 GN=mdnB PE=4 SV=1
m.2976,407,0,0,0,0,0,0,-0.112,-0.1279,0.537939,0.901256,1,Amiloride-sensitive amine oxidase [copper-containing] OS=Mus musculus GN=Aoc1 PE=2 SV=1
m.29763,200,0,0,0,0,0,0,-0.049,-0.0556,0.52666,0.950024,0.958353,Uncharacterized protein C3H1.02c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC3H1.02c PE=4 SV=1
m.29774,196,0,0,0,0,0,0,-0.017,-0.0191,0.531276,0.981127,0.932687,m.29774
m.29775,144,2,3,6,3,3,5,0.033,0.0754,0.577029,1,0.884175,m.29775
m.29778,253,0,1,0,0,0,0,-0.125,-0.1437,0.544074,0.891747,1,LWamide neuropeptides OS=Anthopleura elegantissima PE=1 SV=1
m.29779,268,6,0,0,0,0,0,-1.099,-1.5632,1,0.992845,0.460682,Predicted protein OS=Nematostella vectensis GN=v1g207081 PE=4 SV=1
m.298,454,0,0,0,0,0,0,-0.043,-0.0486,0.527006,0.955403,0.953411,Delta(5) fatty acid desaturase OS=Mortierella alpina GN=DES1 PE=2 SV=1
m.29805,227,1,0,0,2,0,4,0.884,1.2243,1,0.555937,0.99141,m.29805
m.29808,242,15,22,36,23,20,15,-0.259,-1.4427,1,0.988101,0.56763,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1
m.29813,455,2,3,8,3,0,3,-0.67,-1.3858,1,0.984918,0.62181,26S protease regulatory subunit 4 OS=Drosophila melanogaster GN=Rpt2 PE=1 SV=2
m.29826,115,0,0,0,0,0,0,-0.056,-0.0674,0.526648,0.942189,0.965992,A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus GN=Adamts1 PE=1 SV=4
m.29835,460,0,0,146,0,0,13,-2.325,-8.1887,0,0.95458,0,Tubulin beta chain OS=Paracentrotus lividus PE=2 SV=1
m.29839,721,1,0,2,0,1,1,-0.314,-0.4075,0.892107,0.833988,1,TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1
m.29841,260,0,1,0,0,1,1,-0.089,-0.1002,0.530395,0.918155,0.993359,m.29841
m.29844,459,0,0,0,0,0,0,-0.039,-0.0438,0.527393,0.960909,0.94859,Calcium/calmodulin-dependent protein kinase type II alpha chain OS=Drosophila melanogaster GN=CaMKII PE=1 SV=1
m.29861,185,102,50,52,75,35,45,-0.282,-2.6106,0.157077,0.980294,0.034339,Trypsin-7 OS=Anopheles gambiae GN=TRYP7 PE=2 SV=2
m.29863,501,0,0,0,0,0,0,-0.018,-0.0215,0.530755,0.978149,0.934868,Meiosis-specific nuclear structural protein 1 OS=Xenopus tropicalis GN=mns1 PE=2 SV=1
m.29873,128,14,8,10,0,0,0,-2.503,-4.0042,0.0007,0.963341,0.000075,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1
m.29874,107,0,0,0,0,0,0,-0.082,-0.0929,0.529076,0.922704,0.987657,Mitotic-spindle organizing protein 1 OS=Xenopus laevis GN=mzt1 PE=3 SV=2
m.29877,913,11,6,3,9,15,6,0.387,1.3014,1,0.484996,0.995283,E3 ubiquitin-protein ligase CBL-B-A OS=Xenopus laevis GN=cblb-a PE=2 SV=1
m.29886,169,0,0,0,0,0,0,-0.123,-0.1418,0.543267,0.893583,1,m.29886
m.29888,284,9,14,15,19,13,18,0.265,1.1839,1,0.595288,0.988842,Vesicle-associated membrane protein/synaptobrevin-binding protein OS=Aplysia californica PE=2 SV=1
m.29890,126,1,0,0,0,0,1,-0.044,-0.0534,0.526744,0.952698,0.955866,m.29890
m.29900,109,0,0,0,0,0,0,0.017,0.0192,0.543718,1,0.910769,DNA damage-binding protein 1 OS=Chlorocebus aethiops GN=DDB1 PE=1 SV=1
m.29911,372,0,0,0,0,0,0,-0.099,-0.1149,0.533892,0.909445,1,m.29911
m.29917,129,0,0,0,0,0,0,-0.117,-0.137,0.541306,0.895455,1,"Citrate lyase subunit beta-like protein, mitochondrial OS=Rattus norvegicus GN=Clybl PE=2 SV=2"
m.2995,906,0,0,0,0,0,0,-0.148,-0.1808,0.56394,0.873618,1,Acetyl-CoA carboxylase OS=Gallus gallus GN=ACAC PE=1 SV=1
m.29950,305,0,0,1,0,0,0,-0.002,-0.0024,0.535726,0.996442,0.922257,Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1
m.29952,124,15,13,11,5,42,29,0.668,3.3452,0.004084,0.000524,0.973381,m.29952
m.29955,115,0,0,0,0,0,0,-0.105,-0.1197,0.535277,0.905288,1,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1
m.29969,216,0,0,1,0,0,0,-0.097,-0.1122,0.533161,0.911572,1,CAD protein OS=Drosophila melanogaster GN=r PE=1 SV=3
m.2997,222,0,0,0,0,0,0,-0.024,-0.0262,0.529833,0.975202,0.937076,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3"
m.29970,184,0,0,1,0,3,0,0.527,0.6996,1,1,0.923536,Integral membrane protein 2C OS=Bos taurus GN=ITM2C PE=2 SV=1
m.29972,1069,0,3,2,1,0,3,-0.242,-0.3981,0.869917,0.833795,1,Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2
m.30023,103,0,0,0,0,0,0,-0.048,-0.0541,0.526713,0.952699,0.955866,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1
m.30031,133,0,0,0,0,0,0,-0.116,-0.1325,0.539582,0.899287,1,m.30031
m.30038,189,0,0,2,1,0,0,-0.479,-0.5827,1,0.857043,1,Mitogen-activated protein kinase kinase kinase 2 OS=Mus musculus GN=Map3k2 PE=1 SV=2
m.3004,377,0,3,1,2,1,0,-0.269,-0.3704,0.80937,0.83376,1,Laminin subunit alpha-1 OS=Homo sapiens GN=LAMA1 PE=1 SV=2
m.3005,453,5,17,27,2,6,20,-0.573,-2.3411,0.306135,0.986714,0.076769,"Serine--pyruvate aminotransferase, mitochondrial OS=Callithrix jacchus GN=AGXT PE=2 SV=1"
m.30054,147,0,1,1,2,0,0,0.299,0.3812,1,1,0.860069,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=2 SV=2
m.30055,129,0,0,2,0,0,1,-0.328,-0.4176,0.916893,0.834412,1,m.30055
m.3006,191,0,0,0,0,0,0,-0.082,-0.0975,0.529877,0.920412,0.990495,Predicted protein OS=Nematostella vectensis GN=v1g246829 PE=4 SV=1
m.30077,477,0,0,0,0,0,0,-0.003,-0.003,0.535539,0.996443,0.922257,Dynamin-1-like protein OS=Bos taurus GN=DNM1L PE=2 SV=1
m.30091,627,0,0,0,1,0,0,0.004,0.0048,0.538107,1,0.918303,BAI1-associated protein 3 OS=Mus musculus GN=Baiap3 PE=2 SV=3
m.30092,890,0,0,0,0,0,0,-0.122,-0.1284,0.538111,0.901256,1,Proprotein convertase subtilisin/kexin type 5 OS=Branchiostoma californiense GN=PC6 PE=2 SV=1
m.30104,442,1,3,3,12,4,9,1.269,3.0272,0.019451,0.002257,0.978186,Chymotrypsinogen B2 OS=Homo sapiens GN=CTRB2 PE=2 SV=2
m.3011,178,0,0,0,0,0,0,-0.084,-0.0918,0.5289,0.925025,0.98485,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1
m.30119,146,14,5,8,4,2,0,-1.389,-3.2736,0.022332,0.970198,0.002671,m.30119
m.30125,128,0,0,0,0,0,0,-0.063,-0.0725,0.526864,0.937125,0.971233,m.30125
m.3013,523,0,0,0,0,0,0,-0.13,-0.1472,0.545619,0.889941,1,4-coumarate--CoA ligase OS=Pinus taeda GN=4CL PE=2 SV=1
m.30143,172,0,0,0,2,0,3,0.732,0.9923,1,0.797992,0.971139,Thrombospondin-2 OS=Bos taurus GN=THBS2 PE=2 SV=2
m.30168,293,0,0,1,1,0,0,-0.01,-0.0118,0.533037,0.987167,0.928423,Transcription initiation factor TFIID subunit 4 OS=Homo sapiens GN=TAF4 PE=1 SV=2
m.30171,172,0,10,0,0,7,10,0.406,1.0677,1,0.714941,0.979285,m.30171
m.30177,103,0,0,0,0,0,0,-0.084,-0.0952,0.529459,0.922702,0.987659,m.30177
m.30190,252,0,2,7,7,3,7,0.536,1.3331,1,0.458875,0.996454,Putative tyrosinase-like protein tyr-3 OS=Caenorhabditis elegans GN=tyr-3 PE=3 SV=5
m.302,408,0,1,0,2,0,0,0.214,0.2547,0.83556,1,0.851027,Epsilon-sarcoglycan OS=Mus musculus GN=Sgce PE=2 SV=2
