"Protein","PROTLEN","DEFLINE","PL30-C","PL12-1m","PL12-100b","PL30-100m","PL12-100m","PL30-10m","PL30-100b","PL30-1m","PL12-C","PL12-10m","UniprotID"
"m.388",373,"Translocation protein SEC62 OS=Pongo abelii GN=SEC62 PE=2 SV=1",0,0.5,0,0.5,0,0,0,0.5,0.5,0,"Q5R4Q3"
"m.38847",116,"Predicted protein OS=Nematostella vectensis GN=v1g247043 PE=4 SV=1",0.5,1,0,0.5,1,0.5,0.5,0.5,0,0,"3282233"
"m.38881",140,"Predicted protein OS=Nematostella vectensis GN=v1g210997 PE=4 SV=1",0.5,0.5,0,0,0,0.5,1.5,0.5,0,0,"3277894"
"m.3912",229,"m.3912",0,0.5,0.5,0,0,0,0,0,0.5,0,NA
"m.3914",142,"Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1",5,7,5.5,6.5,4,4.5,2.5,3.5,5,2.5,"P45878"
"m.392",136,"m.392",15,35.5,28,9.5,15.5,13.5,22.5,4,14,7.5,NA
"m.3929",668,"Dystrophin OS=Gallus gallus GN=DMD PE=2 SV=1",0,0,0,0.5,0,0.5,0,0,0.5,0,"P11533"
"m.3936",244,"Dihydropteridine reductase OS=Bos taurus GN=QDPR PE=2 SV=1",7,14.5,5,10,19.5,10.5,5,9,10,6.5,"Q3T0Z7"
"m.395",594,"Calnexin OS=Rattus norvegicus GN=Canx PE=1 SV=1",0.5,2,0.5,0,0.5,0,0,0,0.5,0,"P35565"
"m.3953",259,"Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2",0,1,0.5,0.5,0,0,0,0,1,0,"Q8TCB0"
"m.3957",187,"GTP-binding protein YPTM1 OS=Zea mays GN=YPTM1 PE=2 SV=2",1,0,0,0,0,0,0,0,0,0.5,"P16976"
"m.3970",459,"Phenylalanine-4-hydroxylase OS=Bos taurus GN=PAH PE=2 SV=1",0,2,1.5,0,0,0,0,0,3.5,0,"Q2KIH7"
"m.3978",582,"Tyrosine-protein phosphatase non-receptor type 11 OS=Gallus gallus GN=PTPN11 PE=2 SV=1",1.5,8,3.5,1,3.5,3,2.5,1,7.5,0.5,"Q90687"
"m.399",137,"Predicted protein OS=Nematostella vectensis GN=v1g199281 PE=4 SV=1",0,1,0,0.5,1,0,0,0.5,1,0,"3268546"
"m.3993",710,"YTH domain-containing protein 1 OS=Homo sapiens GN=YTHDC1 PE=1 SV=3",1.5,0.5,0,2,2,1.5,0.5,1.5,2,1.5,"Q96MU7"
"m.4",1370,"Major yolk protein OS=Strongylocentrotus purpuratus PE=1 SV=2",61,83,68,54,45.5,62,35.5,25,59.5,39.5,"P19615"
"m.4004",580,"Tetratricopeptide repeat protein 25 OS=Xenopus laevis GN=ttc25 PE=2 SV=1",0,0,0.5,0,0,0.5,0,0.5,0,0,"Q32NU8"
"m.4026",349,"Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1",2,0.5,7,3,1.5,1,0.5,1.5,1,7,"4941030"
"m.405",356,"DnaJ homolog subfamily B member 11 OS=Rattus norvegicus GN=Dnajb11 PE=2 SV=1",0,0.5,0,0,0,0,0,0,0,0,"Q6TUG0"
"m.406",119,"m.406",0,1.5,2,1,1.5,1.5,0.5,1,1.5,0,NA
"m.4092",124,"m.4092",20.5,21.5,16,19,24.5,11.5,22.5,4,15,4,NA
"m.4111",173,"Phosphotriesterase-related protein OS=Nematostella vectensis GN=v1g177083 PE=3 SV=1",1.5,0.5,0,0.5,1.5,1,0.5,0.5,1.5,0,"A7RFA1"
"m.4131",303,"Leucine zipper transcription factor-like protein 1 OS=Homo sapiens GN=LZTFL1 PE=1 SV=1",0,0.5,0,0,1,1,0,0,1,0,"Q9NQ48"
"m.4192",379,"Protein phosphatase 1B OS=Mus musculus GN=Ppm1b PE=1 SV=1",0,1,1,0,1,1,0.5,0,1.5,0,"P36993"
"m.4199",411,"Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1",0.5,0,0,1,0,0.5,0,1,0,0.5,"4941030"
"m.4212",929,"Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Xenopus laevis GN=aldh1l1 PE=2 SV=1",11,7,9,11.5,9,16.5,9,8.5,12.5,4,"Q6GNL7"
"m.4224",397,"Proliferation-associated protein 2G4 OS=Mus musculus GN=Pa2g4 PE=1 SV=3",3,3.5,10.5,1,0.5,1,2,1,6,1,"P50580"
"m.4229",273,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Bos taurus GN=NDUFS3 PE=1 SV=1",0,0.5,0,0,0.5,0.5,0,0,0,0,"P23709"
"m.423",229,"Calcyphosin-like protein OS=Mus musculus GN=Capsl PE=2 SV=4",10.5,12.5,9.5,7,10,5,5,4.5,10.5,8.5,"Q6P8Y1"
"m.4250",288,"Spectrin alpha chain, non-erythrocytic 1 OS=Gallus gallus GN=SPTAN1 PE=1 SV=3",9,9.5,13,6.5,9,9.5,9,4,13,2.5,"P07751"
"m.426",811,"CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3",0,2,1.5,2,3,3.5,0,1,1.5,0,"Q80T79"
"m.4268",630,"von Willebrand factor D and EGF domain-containing protein OS=Homo sapiens GN=VWDE PE=2 SV=4",0.5,2,2,0,0,0,0,0,1,0,"Q8N2E2"
"m.428",332,"Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1",0,0,1.5,0,0,0,0,0,0,0,"Q99020"
"m.429",369,"Nuclear receptor subfamily 2 group F member 1-A OS=Danio rerio GN=nr2f1a PE=2 SV=1",0,0.5,0,0,0,0,0,0,0.5,0,"Q06725"
"m.43",257,"FAD-linked oxidoreductase DDB_G0289697 OS=Dictyostelium discoideum GN=DDB_G0289697 PE=2 SV=1",0.5,3.5,0,1.5,4.5,3.5,0,2.5,3.5,0.5,"Q54H55"
"m.4304",248,"Pathogenesis-related protein PRB1-2 OS=Hordeum vulgare PE=2 SV=1",0,1,0,0,0,0,0,0,0.5,0,"P35792"
"m.4305",317,"UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2",0,0,1,0,0,0,0,0,0,0,"Q7LL04"
"m.4326",136,"Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=2",2,1,2,1,1.5,3.5,2.5,1.5,1,2.5,"Q14517"
"m.4327",322,"Glutamyl aminopeptidase OS=Sus scrofa GN=ENPEP PE=1 SV=1",4.5,0,6.5,4.5,4.5,4.5,10.5,2,0.5,10.5,"Q95334"
"m.4350",198,"Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1",0,0,0,0,0,0,1,0,0,0,"Q8CG08"
"m.4353",392,"Epsin-2 OS=Homo sapiens GN=EPN2 PE=1 SV=3",0,1,1.5,1.5,5,4,0,5,1.5,2,"O95208"
"m.4356",640,"Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2",1.5,4.5,1,0.5,1.5,0.5,1.5,0.5,2.5,0.5,"Q7TMK9"
"m.4358",403,"Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3",2,0.5,0,0,0,0,1.5,0,1,0,"Q9H4G4"
"m.4366",173,"Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1",0,0,1.5,0,0.5,1,0,0,0,0,"4780878"
"m.437",429,"Programmed cell death protein 4 OS=Gallus gallus GN=PDCD4 PE=2 SV=1",0,0,0.5,0.5,1,1,1,1,0,0,"Q98TX3"
"m.4386",383,"RNA-binding protein Nova-2 OS=Homo sapiens GN=NOVA2 PE=1 SV=1",0,0,1.5,0,0,0,0,0,0,0,"Q9UNW9"
"m.4387",576,"m.4387",0,0,1.5,0,0,1,0,0,0,0,NA
"m.4396",851,"Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 PE=1 SV=4",0,0.5,0,0,0,0,0,0,0.5,0,"Q96N67"
"m.44",328,"m.44",0.5,4,0,0,0,0,1,0,2.5,0,NA
"m.441",423,"Aspartate aminotransferase, cytoplasmic OS=Gallus gallus GN=GOT1 PE=1 SV=3",1.5,14,6.5,1,9.5,1,3,1,4,1,"P00504"
"m.4449",151,"m.4449",0.5,1,1.5,0,0.5,0,0,0,0.5,0,NA
"m.449",162,"40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3",2,2,3,1.5,0.5,1,1,0.5,3,1,"P62264"
"m.4498",185,"Acyl-coenzyme A synthetase ACSM3, mitochondrial OS=Pongo abelii GN=ACSM3 PE=2 SV=1",0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,"Q5REV5"
"m.4533",744,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus GN=Plod3 PE=1 SV=1",0,1,0,0,0.5,0,0,0,1,0,"Q9R0E1"
"m.4541",228,"Abl interactor 1 OS=Rattus norvegicus GN=Abi1 PE=1 SV=3",0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,"Q9QZM5"
"m.4558",266,"Hephaestin-like protein 1 OS=Homo sapiens GN=HEPHL1 PE=2 SV=2",0,0.5,3.5,1.5,1,1.5,1,0,0.5,0,"Q6MZM0"
"m.458",572,"Tripeptidyl-peptidase 1 OS=Mus musculus GN=Tpp1 PE=1 SV=2",0.5,1,0.5,0,0.5,0,0.5,0,0,0,"O89023"
"m.459",339,"Putative aminopeptidase W07G4.4 OS=Caenorhabditis elegans GN=W07G4.4 PE=1 SV=1",2,4,0.5,0.5,1,0.5,0.5,0.5,4.5,0,"Q27245"
"m.4597",352,"Guanylate-binding protein 6 OS=Homo sapiens GN=GBP6 PE=2 SV=1",0,1,0,0,0,0,0,0,0,0,"Q6ZN66"
"m.460",402,"Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=2",3.5,6,8,3.5,7,6,5,4,7,3.5,"Q6P8X1"
"m.461",891,"Deleted in malignant brain tumors 1 protein OS=Mus musculus GN=Dmbt1 PE=1 SV=2",0,1.5,1.5,0,0,0,0,0,1,0,"Q60997"
"m.462",353,"Guanine nucleotide-binding protein G(q) subunit alpha OS=Rattus norvegicus GN=Gnaq PE=1 SV=2",0.5,0.5,1.5,0,0,0.5,1,0.5,1,0.5,"P82471"
"m.4637",291,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Mus musculus GN=Enpp5 PE=2 SV=3",5.5,0.5,4,9,10,2.5,7.5,3,1,4,"Q9EQG7"
"m.4641",249,"Poly(U)-specific endoribonuclease-B OS=Danio rerio GN=endoub PE=2 SV=1",4,1.5,0.5,3.5,4,3.5,4.5,5,1,3,"Q503V9"
"m.4653",228,"Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1 PE=1 SV=3",0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,"Q9Y2Q3"
"m.4694",414,"Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3",5,2.5,10.5,0,0.5,0,5,0,3,1,"Q9D8N0"
"m.47",1132,"Kinesin heavy chain OS=Doryteuthis pealeii PE=2 SV=1",0,0,0,0,0.5,0.5,0,0,0,0,"P21613"
"m.4719",628,"E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3",0,0,0,0,0,0.5,0,1,0.5,0,"Q7Z6Z7"
"m.473",628,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Pongo abelii GN=RPN2 PE=2 SV=1",0,1,0,0,0,0,0,0.5,0,0,"Q5RBM1"
"m.4733",390,"Interferon-inducible GTPase 5 OS=Homo sapiens GN=IRGC PE=2 SV=1",0,1,0,0,0,0,0,0,0,0,"Q6NXR0"
"m.4747",349,"Guanine nucleotide-binding protein subunit beta OS=Loligo forbesi PE=2 SV=1",2,3,5.5,2.5,3,1,2.5,1,3.5,4,"P23232"
"m.4759",223,"Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2",0.5,3,3.5,3.5,3,3,0.5,2,1,1.5,"O43399"
"m.4763",224,"Tenascin C (Fragment) OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01083 PE=4 SV=1",0,0,1,0,0,0.5,0.5,0,0,0,"4191200"
"m.4781",617,"V-type proton ATPase catalytic subunit A isoform 2 OS=Drosophila melanogaster GN=Vha68-2 PE=1 SV=2",2,13,11,0,10,3,2.5,0,6.5,0.5,"Q27331"
"m.481",1150,"Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2",0,1,1,0,0,0,0,0,1.5,0,"Q92896"
"m.4865",531,"Cdc42-interacting protein 4 homolog OS=Danio rerio GN=trip10 PE=2 SV=1",1,1.5,4,1,0,2,0.5,0,3,0.5,"Q5U3Q6"
"m.4876",497,"m.4876",0,2.5,2.5,1,1,0.5,0,1,0.5,2,NA
"m.4878",331,"Malate dehydrogenase, cytoplasmic OS=Bos taurus GN=MDH1 PE=2 SV=3",21,54.5,28.5,27,37,23,9,17.5,25.5,9.5,"Q3T145"
"m.4884",253,"40S ribosomal protein S3 OS=Sus scrofa GN=RPS3 PE=2 SV=1",6.5,12.5,17.5,3.5,6,2,3.5,1,16,4.5,"Q0Z8U2"
"m.4894",508,"Methionine aminopeptidase 2 OS=Rattus norvegicus GN=Metap2 PE=1 SV=2",0,0,1,0,0.5,0,0,0.5,0,1,"P38062"
"m.4897",319,"60S ribosomal protein L4-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rpl4b PE=3 SV=1",9.5,14,24,8,13.5,14,10,2.5,17.5,5,"Q9P784"
"m.4903",2982,"Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1",2.5,7,7.5,5,5.5,2.5,1,1,1.5,7,"E9Q414"
"m.491",248,"60S ribosomal protein L6 OS=Chinchilla lanigera GN=RPL6 PE=2 SV=3",5,6.5,14,5.5,8,5.5,3,1,9,3,"Q6QMZ4"
"m.4911",552,"ATP synthase subunit alpha, mitochondrial OS=Pongo abelii GN=ATP5A1 PE=2 SV=1",39.5,73.5,83.5,48,56.5,71,32,64.5,56,39,"Q5R546"
"m.4921",158,"ATP synthase subunit d, mitochondrial OS=Rattus norvegicus GN=Atp5h PE=1 SV=3",0,1,0,0,0,0,0,0,0.5,0,"P31399"
"m.4923",315,"Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Rattus norvegicus GN=Gnb2l1 PE=1 SV=3",0,6,3.5,0,0,0.5,0,0,5,0,"P63245"
"m.4926",159,"Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1",0,0,1,0,1.5,1,0,1,0,0.5,"Q54RA4"
"m.494",400,"Cold-inducible RNA-binding protein OS=Lithobates catesbeiana GN=cirbp PE=2 SV=1",0.5,4,2,0,0,0,1,0,4,1,"Q9PTX2"
"m.4943",647,"Transketolase-like protein 2 OS=Mus musculus GN=Tktl2 PE=2 SV=1",13,70,66,14,71.5,25,17.5,25,27.5,25.5,"Q9D4D4"
"m.4946",322,"Pleckstrin homology domain-containing family A member 1 OS=Mus musculus GN=Plekha1 PE=2 SV=1",0,0.5,0.5,0.5,2,0.5,0,1,1,0,"Q8BUL6"
"m.4960",840,"Elongation factor 2 OS=Gallus gallus GN=EEF2 PE=1 SV=3",18,43,25,8,14,11,17,4.5,30.5,6.5,"Q90705"
"m.4969",645,"Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=2",3,0.5,4.5,7.5,6,2.5,0.5,7.5,1,7,"D3YXK2"
"m.4974",208,"Peptidyl-prolyl cis-trans isomerase FKBP7 OS=Pongo abelii GN=FKBP7 PE=2 SV=1",2,1.5,4.5,0,0.5,0.5,2,0,1,0,"Q5RET2"
"m.4978",368,"Protein disulfide-isomerase like 2-1 OS=Arabidopsis thaliana GN=PDIL2-1 PE=1 SV=1",31,32.5,47.5,49.5,46,42,28.5,37,31.5,25,"O22263"
"m.4988",204,"60S ribosomal protein L15 OS=Rattus norvegicus GN=Rpl15 PE=1 SV=2",1.5,2,1,0,0,0.5,0,0,1.5,0,"P61314"
"m.4990",351,"Protein NDRG3 OS=Homo sapiens GN=NDRG3 PE=1 SV=2",0,0.5,1,0.5,0,0.5,0,0,0.5,0,"Q9UGV2"
"m.4998",325,"Calretinin OS=Bos taurus GN=CALB2 PE=2 SV=1",0,1,0,0,0,0,0,0,1,0,"Q3ZBY3"
"m.5005",481,"Protein disulfide-isomerase A6 OS=Rattus norvegicus GN=Pdia6 PE=1 SV=2",10.5,17,14,3.5,4,3.5,8.5,1,19.5,1.5,"Q63081"
"m.5012",2350,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",61,91,55.5,51,52,66.5,60.5,42.5,91,26.5,"Q01082"
"m.5020",224,"40S ribosomal protein S2 OS=Ictalurus punctatus GN=rps2 PE=2 SV=1",2,3.5,6,1,2,1.5,1.5,0.5,2,0.5,"Q90YS3"
"m.5022",151,"Translationally-controlled tumor protein homolog OS=Branchiostoma belcheri PE=2 SV=1",14.5,16.5,14,5,26,13,8.5,8,12,14,"Q95VY2"
"m.5025",257,"14-3-3 protein epsilon OS=Drosophila melanogaster GN=14-3-3epsilon PE=1 SV=2",14,25.5,37,14.5,35.5,25.5,11.5,9.5,22,13,"P92177"
"m.5028",1007,"Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1",6,4,8,7.5,9,7,4,9.5,3,5.5,"Q9WV92"
"m.5030",279,"Thiosulfate sulfurtransferase OS=Gallus gallus GN=TST PE=1 SV=1",4,2.5,23.5,16.5,26,14.5,5,11,3.5,8,"P25324"
"m.5042",675,"CD209 antigen-like protein E OS=Mus musculus GN=Cd209e PE=2 SV=1",2,2.5,1,0,0.5,1,2.5,0.5,1,0,"Q91ZW7"
"m.5045",171,"Contactin-associated protein-like 5 OS=Homo sapiens GN=CNTNAP5 PE=2 SV=1",0,0,3,0,0,1,0,0,0.5,0,"Q8WYK1"
"m.5056",403,"Melanotransferrin OS=Mus musculus GN=Mfi2 PE=2 SV=1",5,6.5,8.5,5,9,9,2,8,6,7.5,"Q9R0R1"
"m.506",193,"m.506",2,5.5,4.5,0.5,2.5,0.5,2,0.5,5.5,2,NA
"m.5061",506,"Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2",18.5,34,22.5,9.5,11,10.5,7.5,9,20,12,"C3YWU0"
"m.5062",346,"Cathepsin B OS=Rattus norvegicus GN=Ctsb PE=1 SV=2",1.5,4,4,3.5,2,2.5,1,2.5,1.5,1.5,"P00787"
"m.5064",342,"m.5064",5.5,5.5,3,0.5,4,0.5,1.5,0,4,0.5,NA
"m.5076",1105,"Valine--tRNA ligase OS=Takifugu rubripes GN=vars PE=3 SV=1",3,8.5,6.5,4,4.5,6,3,1.5,7,1,"P49696"
"m.5080",107,"m.5080",2.5,5.5,7,1,3,3,0,1,5,0.5,NA
"m.5081",198,"Ras-like protein RAS2 OS=Hydra vulgaris GN=RAS2 PE=2 SV=1",3,7.5,7,6,4,6,2.5,3.5,6,2,"P38976"
"m.5087",320,"Calcium/calmodulin-dependent protein kinase type IV OS=Homo sapiens GN=CAMK4 PE=1 SV=1",0.5,2,2.5,0,1,0.5,0,0,1,0,"Q16566"
"m.5096",1402,"Sortilin-related receptor OS=Oryctolagus cuniculus GN=SORL1 PE=2 SV=1",0.5,1,3,0.5,0,0,0.5,0,0.5,0,"Q95209"
"m.5108",251,"14-3-3 protein gamma OS=Gallus gallus GN=YWHAG PE=1 SV=1",39,45.5,68.5,48,71,65,35,42,47.5,44,"Q5F3W6"
"m.5109",131,"Alpha-endosulfine OS=Xenopus tropicalis GN=ensa PE=2 SV=1",0,2,2.5,0,0.5,2.5,0.5,0.5,1.5,0.5,"Q6NVR1"
"m.5113",272,"40S ribosomal protein S4 OS=Ictalurus punctatus GN=rps4 PE=2 SV=3",3.5,9,7.5,0.5,2,0,1.5,0,5,0.5,"Q90YS0"
"m.5115",549,"TOM1-like protein 2 OS=Mus musculus GN=Tom1l2 PE=2 SV=1",0.5,2,3.5,0.5,3,2,1,1.5,4,0.5,"Q5SRX1"
"m.5120",694,"Stress-70 protein, mitochondrial OS=Bos taurus GN=HSPA9 PE=2 SV=1",13.5,19.5,12.5,7.5,21,18,12,12,17,5.5,"Q3ZCH0"
"m.5128",376,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1",0,2,0,0,0,0,0.5,0,0,0,"3285278"
"m.5142",151,"m.5142",2.5,6,6,2,3.5,2,2.5,0,4.5,0.5,NA
"m.5146",126,"Ras-related C3 botulinum toxin substrate 1 OS=Rattus norvegicus GN=Rac1 PE=1 SV=1",0,3,1,0,1,0,0.5,0,1,0,"Q6RUV5"
"m.5147",416,"Isocitrate dehydrogenase [NADP] cytoplasmic OS=Ovis aries GN=IDH1 PE=2 SV=1",11.5,20,20.5,3.5,9,4.5,9.5,0.5,14.5,4.5,"Q6XUZ5"
"m.5148",167,"Probable chitinase 3 OS=Drosophila melanogaster GN=Cht3 PE=2 SV=2",0.5,7.5,0,0,2,1.5,2,0,1.5,0,"Q9W5U2"
"m.5150",488,"Cathepsin L OS=Schistosoma mansoni GN=CL1 PE=2 SV=1",3.5,4,4.5,3,3.5,2.5,2.5,3,4,1.5,"Q26534"
"m.5161",451,"Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2",11,7,9,5,9.5,11.5,3,10.5,6,14,"C3YWU0"
"m.5163",1400,"Collagen alpha-2(I) chain OS=Lithobates catesbeiana GN=COL1A2 PE=2 SV=1",0,2,0.5,0,0,0,0,0,1.5,0,"O42350"
"m.5169",263,"Heterogeneous nuclear ribonucleoprotein F OS=Macaca fascicularis GN=HNRNPF PE=2 SV=3",0,0.5,0,0,0,0,0,0,1,0,"Q60HC3"
"m.5182",409,"CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens GN=CUZD1 PE=2 SV=1",8.5,15.5,14.5,12.5,22,6,7,4,8.5,7.5,"Q86UP6"
"m.5185",122,"Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1",0,0,0,0,0,0,1.5,0,0,0,"3277618"
"m.5186",242,"Tropomyosin OS=Trichinella pseudospiralis PE=2 SV=1",31.5,38,42,43.5,65.5,48.5,23,43,38,45,"Q8WR63"
"m.5189",253,"ADP-ribose pyrophosphatase, mitochondrial OS=Homo sapiens GN=NUDT9 PE=1 SV=1",0,0.5,0,0,0,0.5,0,0,1,0,"Q9BW91"
"m.519",515,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1 OS=Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A) GN=gpmI1 PE=3 SV=1",14,12.5,27.5,23,28,24,15,13,12.5,17.5,"Q8TMI6"
"m.5191",2106,"Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1",0.5,2,8,3.5,2,2,1,1.5,4,5.5,"Q9NZM1"
"m.5199",639,"116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1",1,1.5,1,0,1.5,0,1,0,1.5,0,"Q15029"
"m.5216",1018,"Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1",1.5,0.5,1.5,0,1.5,0.5,1,1,0.5,0.5,"Q8BKG3"
"m.523",663,"Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=2 SV=2",0,0,1,0,0,0,0.5,0,0,0,"Q8BIK4"
"m.5250",227,"Carbonic anhydrase 2 OS=Bos taurus GN=CA2 PE=1 SV=3",8.5,19.5,25,4.5,15,4,9,36.5,23,7,"P00921"
"m.5253",335,"Glyceraldehyde-3-phosphate dehydrogenase OS=Pelodiscus sinensis GN=GAPDH PE=2 SV=1",27.5,63.5,72.5,65,101.5,75,30,43,33,32,"Q5R2J2"
"m.5256",138,"60S ribosomal protein L18 OS=Ixodes scapularis GN=RpL18 PE=2 SV=1",1.5,3.5,4,0.5,1,2,0,0,3,1,"Q4PM04"
"m.5266",746,"Catenin beta OS=Urechis caupo PE=2 SV=1",0,0,0,0,0,0,0,0,0,0,"P35224"
"m.5270",380,"Guanine nucleotide-binding protein G(s) subunit alpha OS=Homarus americanus PE=2 SV=1",1,0.5,4,0,0,0,0.5,0,2,1.5,"O16118"
"m.5290",1690,"Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2",0.5,3.5,0.5,0,0,0.5,1,0,2.5,0,"P39447"
"m.5305",270,"60S ribosomal protein L8 OS=Anopheles gambiae GN=RpL8 PE=2 SV=2",0.5,6,7.5,0.5,1.5,0.5,0.5,0,2.5,0,"Q9U9L2"
"m.5309",1972,"Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2",39,117.5,60,53,51.5,44.5,46,37,100.5,37.5,"Q61879"
"m.531",580,"Phenylalanine--tRNA ligase beta subunit OS=Mus musculus GN=Farsb PE=2 SV=2",1,19,4,0.5,5.5,0.5,2.5,0,5.5,0.5,"Q9WUA2"
"m.5315",882,"Coatomer subunit gamma-2 OS=Takifugu rubripes GN=copg2 PE=3 SV=1",1.5,4,1.5,0.5,0.5,1.5,0,0.5,5,1,"Q9I8E6"
"m.5317",354,"Guanine nucleotide-binding protein G(i) subunit alpha OS=Patiria pectinifera PE=1 SV=3",2,2,6.5,1.5,1.5,3,1.5,0,4,2.5,"P30676"
"m.532",113,"40S ribosomal protein S21 OS=Sus scrofa GN=RPS21 PE=3 SV=1",1,2.5,4,0,1.5,1.5,2,0.5,1,0.5,"P63221"
"m.5328",257,"Spliceosome RNA helicase DDX39B OS=Canis familiaris GN=DDX39B PE=3 SV=1",0.5,4,1,0,0,1.5,0,0,0,0,"Q5WR10"
"m.534",225,"Hypothetical transporter OS=Rhodobacteraceae bacterium HTCC2150 GN=RB2150_00225 PE=4 SV=1",19.5,31.5,13.5,28,26.5,15.5,26,19,21.5,11,"9169740"
"m.5346",119,"m.5346",0.5,1,0.5,0,0,0,0,0,0.5,0,NA
"m.5347",415,"Nucleoredoxin OS=Xenopus laevis GN=nxn PE=2 SV=1",10.5,12,11.5,8.5,14,9,6.5,1.5,11.5,8.5,"Q6GM16"
"m.535",370,"Phosphoserine aminotransferase OS=Mus musculus GN=Psat1 PE=1 SV=1",0,1.5,3.5,0.5,4,2.5,0,1,1.5,3,"Q99K85"
"m.5352",328,"Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2",0.5,2.5,2,1,0.5,0.5,0,0,0.5,0.5,"Q92820"
"m.5354",547,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Rattus norvegicus GN=Aldh6a1 PE=1 SV=1",1,4,8,2.5,8,3.5,0.5,3,4,1.5,"Q02253"
"m.5364",172,"Myosin regulatory light polypeptide 9 OS=Pongo abelii GN=MYL9 PE=2 SV=3",0.5,3.5,1,0,1,0,1,0,3,1.5,"Q5RBA4"
"m.5369",500,"Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3",0.5,3,0.5,0.5,1,0,0,0,3,1,"P12955"
"m.5382",195,"Receptor expression-enhancing protein 5 OS=Bos taurus GN=REEP5 PE=2 SV=1",2,2.5,1.5,1.5,0.5,0.5,1.5,2,3,0.5,"Q29RM3"
